stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,102.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,6.19,98.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.93,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.48,0,0,0,0,0,0,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,121.29,0,0,0,49.41,0,0,3.03,10.74,3.64,4.35,0,0,0,0,0,0
 14-21,0,0,1.09,1.76,8.4,0.99,0.99,0,0.87,0,3.93,1.14,0,0,0,0,0,0,0.92,0,4.29,0,0,2.38,48.69,5.53,0,0,0,0,0,0,4.61,0.97,4.45,28.89,0,0,2.73,0,0
 24-34,0,0,0,1.36,9.93,1.62,23.02,0,2.19,1.34,3.57,0,0,3.74,1.04,1.37,0,0,0,0.98,14.33,0,0,3.09,234.45,1.95,2.4,1.69,0,0,5.99,0,0,0.82,0.71,62.89,0,0,16.91,0,2.7
 36-46,0,0,0,0,9.48,1.4,36.75,0,12.64,0.82,4.42,0,0,0,1.76,2.06,0,1.97,0,3.7,18.42,1.78,0.72,5.69,400.47,5.71,2.16,0.8,0,0,5.56,0,0,0,0,75.92,0,0,9.71,0,2.79
 48-58,0,0,0.54,0,7.52,0,87.18,0,2.14,1.05,21.13,0,0.75,0.5,0,0,0,1.55,1.61,5.43,31.31,0.81,1.65,4.06,434.26,5.17,4.06,1.29,0,0.45,0.86,0,0,4.83,0,87.26,0,0,9.16,0,0.83
 60-70,0,0,0,0,7.04,10.47,171.31,0,2.68,9.82,23.71,0,0,2.2,4.69,0,0,2.55,0,8.29,59.1,1.43,0,2.21,485.69,0,7.03,1.45,0,8.44,18.53,0,0,0,0,100.59,0,0,22.39,0,7.64
 72-82,0,0,0.57,0,8.46,5.36,190.22,0,0,5.57,27.71,1.51,0,0,3.12,0,0,3.31,1.08,0,54.35,1.89,0.75,4.98,459.2,1.92,6.23,2.88,0,0,9.79,0,0,0,0,77.38,0,1.23,18.2,4.65,9.12
 84-94,0,0,1.11,0,18.32,17.83,155.36,0,4.96,1.51,39.68,2.14,0,0,4.98,0,0.66,0,1.49,1.11,75.13,0,1.66,5.01,336.4,1.11,1.86,3.37,0,2.76,18.92,0,0,0,0,18.94,0,2.95,9.77,0.77,3.08
 96-106,0,0,0,0,13.97,4.47,116.18,0,2.14,0,20.57,0,0,0,3.44,0.64,0.87,0.58,0,0,45.6,2.38,3.84,0,204.26,0,1.16,4.22,0,0,13.47,2.06,0,0,0,13.33,0.81,4.26,16.66,0.59,0
108-118,0,0,2.87,0,28.31,6.44,141.61,4.23,3.91,2.9,37.04,3.46,0,0,6.28,1.14,1.95,2.61,1.4,0,41.04,3.33,6.74,4.45,299.84,3.34,3.34,6.17,0,3.83,23.31,0,0,0,0,7.05,0.42,0,17.34,0,8.55
120,0,0,0,0,52.78,5.57,113.5,8,1.02,4.8,40.86,1.18,0,0,2.73,1.65,11.68,0,3.76,0,106.14,0,0,17.76,734.35,0,0,7.09,0,0,17.95,0,0,0,0,28.49,26.22,0,9.28,3.69,10.22
