stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,119.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0
  5-6,103.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25,0,0,0,0,4.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.79,0,0,0,7.06,0,9.99,0,0,0,0,0
 14-21,0,0,1.72,1.67,0,0,0,0,0,2.47,0,0,0,0,0.87,3.04,0,0,0,0.89,0,0,0,0.82,5.4,0,0
 24-34,0,0,0.65,4.4,0,0,0,0,0,0,0,0,0,0,0.66,9.98,0,0,0,0,4.42,0,0,0,0.66,0,0
 36-46,0,0,0,0.81,5.07,0,0,0,0,0,0,0,0,0,0,13.87,0,0.63,0,0,0.67,0,6.3,0,4.02,0,1.92
 48-58,0,0,0,3.33,0,0.41,0,1.84,0,0,6.83,1.88,1.03,0,0,10.2,0.4,0,0,0,0.67,0,0,0,3.27,0,0
 60-70,0,0,0,2.29,0,0,0,1.57,0,0,0,0,1.61,0,0,19.42,0,0,0,0,0,0,0,0,0.74,0,0
 72-82,0,0,0,5.52,0,0,0.93,2.82,0,0,0,0,0,0,0,47.97,6.42,0,0,0,2.86,0,0,0,0.65,0.56,0
 84-94,0,1.48,0,19.03,0,0,0,2.98,0,0,0,0,4.49,2.46,0,5.69,0,1.55,3.45,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.5,0,0,0,0.8,0.6,0,0,0,0,0,2.25,9.3,0,0,0.84,0,4.9,0,0,0,1.13,2.05,0
108-118,0,0,1.07,14.26,0,0,0,2.78,0.6,0,0,0,5.48,0,2.03,11.5,1.9,0,1.36,0,3.32,0,0,0,0,4.36,1.41
120,0,0,3.15,7.75,0,2.21,0,7.81,1.79,0,0,0,2.38,0,0,0,0,0,0,0,13.37,0,0,0,1.34,0,17.7
