stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.78,29.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,138.16,113.82,0,0,0,0,0,0,0,0,0,0,32.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,205.1,7.78,32.36,0,0,0,77.36,0,0,0,0,0,462.56,0,0,0,0,0,0,0,0,0,0,67.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.62,0,9.38,0,75.84,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0,0,0,225.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.7,0.89,0,2.53,0,0,0,0.96,0,0,0,0,0,0,0,0,0.88,0,0,1.17,213.07,0,0,0,0,14.49,0,0,0,0
 24-34,0,0,0,27.98,0,0,1.83,0,0,0,0,0,0.67,0,0,0,0,0,0,1.23,0.68,0,0,130.8,0,0,0,0,6.43,0,0,0,0
 36-46,0,0,0,0,0,0,14.2,0,0,0,7.74,0,0,1.35,0,0,0,0,0,4.48,0,0,0,468.54,0,0,0,0.59,0,0,0,0,0
 48-58,0,0,1.75,1.23,0,0,11.84,0,0,0,4.63,0,0,0,0,0,0,0,0,26.23,0,0,0,1264.49,0,0,0,0,2.32,0,0,0,0
 60-70,0,0,0,0,0,0,174.74,0,0,0,18.69,0,0,0,0,0,0,0,0,72.24,1.01,0,3.18,1503.48,0,0,1.08,0,1.17,0,6.46,0,0
 72-82,0,0,0,12.14,2.15,0,158.62,0,0,1.29,117.9,0,0,0,0,0,0,0,0,27.5,0,0,2.08,2179.35,0,0,3.7,0,9.96,0,4.56,0.76,0
 84-94,0,0,0,0,0,0,98.53,0,3.69,0.6,30.61,0,0,0,0,0,0,0,0,72.2,0,0,0,1784.32,0,0,4.08,0,6.58,1.79,0,1.02,0
 96-106,0,0,0,6.6,0,0.72,313.82,0,1.68,0,10.35,0,0,0,3.64,0,0.76,0,0,98.87,0,0,1.9,3479.5,0,0,5.44,0,13.7,1.17,0,0,2.89
108-118,0,0,0,0,0,0,347.81,0,0,1.39,404.18,0.88,0,1.81,0,2.02,0,0.87,2.49,43.19,0,0,0.58,5068.35,0,0,0,0,60.92,1.34,67.44,0,0
120,0,0,0,3.48,2.62,0,907.36,37.52,0,0,94.41,5.14,0,0,0,0,0,0,0,5.32,0,4.76,0,6125.79,3.39,11.98,2.82,0,10.6,0,3.87,5.18,0
