stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,821.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0
  5-6,71.78,853.72,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.81,0,0,0,33.03,0,15,0,0,0,0,0,0,0,0,0,0
  7-9,14.63,6.96,0,11.76,0,0,0,53.33,0,0,0,0,0,61.81,0,0,0,0,0,0,0,0,0,728.35,33,0,0,202.6,0,8.07,20.17,0,0,0,0,0,0,0,0,0
 10-12,0,5.74,0,42.12,0,0,0,43.83,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,3.87,504.47,5.18,0,0,127.09,0,0,0,0,30.55,0,0,0,0,0,0,0
 14-21,0,0,1.89,0,22.17,2.8,0,5.65,0,0,0,0.82,2.32,2.29,0,0,0,0,0.94,5.88,0,0,3.43,88.17,3.12,0,0,0.86,0,4.68,0,2.68,0.84,2.53,38.58,0,0,3.41,0,0
 24-34,0,0,4.07,0,1.43,0,0,16.5,0.75,3.01,0,6.99,2.31,0,3.07,0,3.07,0,0,20,0,0,1.75,247.56,1.94,9.56,1.87,0,0,5.18,0,0,0,0.62,60.36,0,0,4.42,0,0
 36-46,0,0,0,0,7.53,0,0,36.26,0,0,0,6.65,0,0,0,0,0,0,0,13.4,3.65,0,1.25,415.48,0,8.99,0,0,0,7.44,0,0,0,0,74.22,0,0,2.72,0,0
 48-58,0,0,0,0,4.08,0.45,0,57.43,1.1,2.85,0,17.61,2.29,0,0,0,0,0.4,0.64,10.18,1.46,0.71,0,365.42,5.85,7.26,1.05,0,0,3.93,0,0,0.43,0,62.44,0,0,0.62,0,3.66
 60-70,0,0,0,0,10.11,1.93,0,108.48,0,4.31,0,20.61,0.65,0,0,1.9,0,0.66,0,15.07,0,0,4.4,328.18,0,2.44,0.8,0,0,3.88,0,0,0,0,56.18,0,0,0,0,0
 72-82,0,0,0,0,0,0.83,0,160.42,0,5.77,0,5.82,3.29,0,0,0,0,0,0,13.63,0,0,2.16,319.86,0,4.91,0.51,0,0,1.05,0,0,0,0,18.9,0,0,0,0,0
 84-94,0,0,1.39,0,5.61,0,0,100.62,0,0,0,23.83,0.6,0,0,0,0,0.59,0,23.73,0,1.68,2.13,158.91,0,1.86,1.69,0,0,8.39,0,0,0,0,30.81,1.8,0,11.29,3.5,2.12
 96-106,0,0,0,0,3.63,0,1.14,117,0,0,1.52,10.57,1.67,0,0,0,0,0,0,13.59,0,0,2.22,142.67,0,0,1.03,0,2.17,2.7,0,0,0,0,10.81,0,0.9,10.36,0,0
108-118,0,0,0.47,0,3.53,1.68,0.46,50.7,8.24,1.52,0,20.07,1.12,0,0,0,0,0.6,0,28.51,0,0,0.5,221.68,0,0,1.61,0,0,4.37,0,0,0,0,19.4,0.52,0.67,7.53,0,0
120,0,0,0,1.28,11.11,0,0,62.38,0,0,0,8.56,4.18,0,0,0,3.03,0,0,14.41,0,0,0,469.61,0,0,1.4,0,0,2.19,0,0,1.74,0,16.37,0,0,0,0,0
