stage,epidermis,eye,mesenchyme,neural,spinal_cord,vasculature
  7-9,0,0,0,4.81,0,0
 24-34,0.68,0.77,0,0,1.59,0
 48-58,0,0,0,1.48,1.1,0
 60-70,0,10.53,0,0,0,0
 72-82,0,32.45,0.6,2.2,0.99,1.1
 84-94,0,17.21,0,0,0,0
 96-106,0,10.98,0,2.06,0,0
108-118,0,16.43,0,3.44,0,0
120,0,41.39,0,0,0,7.96
