stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,223.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0
  5-6,6.56,216.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,23.88,0,0,42.9,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,243.92,14.87,0,0,39.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,42.28,0,0,54.15,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,342.39,0,0,0,80.51,0,0,0,23.73,0,0,0,0,0,0,0
 14-21,0,0,0,5.15,0.91,1.71,0,0,2.14,0,0,0,0,0,0,0,1.16,1.4,0,4.96,68.08,1.61,0,0,0.86,0,0,1.94,0,0,10.04,22.19,0,0,0,0
 24-34,0,0,0,3.34,0,12.16,0,1.62,3.13,0,0,0,0,0,0,1.01,0,7.96,0,2.87,212.54,0.99,0,0,0,0,5.88,0,0.72,0,0.6,46.16,0,0.79,0,0
 36-46,0,0,0,0,0,30.82,0,0,2.91,0,0,0,0,0,0,0.56,3.78,18.01,0,0.93,343.77,0,0,0.72,0,0,1.3,0,0,0,0.83,58.43,0,2.21,0,0
 48-58,0,0,0,3.46,0,111.84,7.25,0,22.51,1.95,0,0,0,0,0.39,0.42,0.62,19.27,0.43,1.73,333.94,5.55,0.47,0,0,0,0,0,0,0,0,71.01,0,0.81,0,1.02
 60-70,0,0,0,0,0,97.94,0.63,1.6,16.03,0,0,0,0,0,5.09,0,0,16.88,2.08,0.6,325.13,2.71,0.64,1.03,0,0,0,0,0,0,0,62.33,0,0,0,0.7
 72-82,0,0,3.31,6.28,0,75.34,0,0,16.74,0,0,0,4.16,0,0.65,0.71,0,44.6,2.85,1.27,232.45,0,0,0,0,0,4.08,0,0,0,0,16.24,0.51,4.66,0,7.57
 84-94,0,0,0,3.12,0,44.37,4,0,12.32,4.44,0,0,4.5,0,0.76,0,0.83,18.11,0.56,2.13,136.02,0,0,0.59,0,0,0,0,0,0.69,0,13.44,0,2,0,0
 96-106,0,0,0,3.09,0,67.78,0,0,10.08,0,0,0,4.09,0,0,0,0,26.37,1.02,0.95,96.8,0,0,0,0,1.96,0,0,0,0,0,1.3,0,3.14,0.61,0
108-118,0,0,0,2.67,8.16,56.55,1.7,4.7,14.15,0.62,0,0,0,0.86,1.35,0,0,35.81,0,0.73,132.21,0,1.67,0,0,0,0,0,0,0,0,1.21,1.3,7.53,0,0
120,0,0,0,0,0,45.94,0,2.12,3.39,0,0,5.18,5.5,0,0,0,0,22.61,1.38,0,280.73,0,0,3.1,0,0,0,0,0,0,0,3.82,0,2.83,0,0
