stage,axial,blastomeres,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,0,19.5,0,0,0,0,0,0,0,0
  5-6,11.88,32.97,0,0,0,0,0,0,0,0
  7-9,3.57,0,0,0,0,0,3.49,0,0,0
 10-12,0,0,0,0,0,0,15.03,0,3.58,0
 24-34,0,0,0,0,0,0,0.72,0,0,0
 36-46,0,0,0,0,0,0,1.92,0,0,0
 48-58,0,0,0.66,0,0,0,7.21,0,0,2.25
 60-70,0,0,0,0,0,0,19.99,7.37,0,0
 72-82,0,0,0,2.18,0.93,0,4.74,0,0,0
 84-94,0,0,0.81,0,0.97,0,2.88,0,0,6.05
 96-106,0,0,0,0,0,0,1.46,0,0,0
108-118,0,0,2.46,0,0,0.59,2.17,0,0,0
120,0,0,5.16,4.93,0,0,9.99,0,0,0
