stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.62,72.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,96.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.71,9.54,0,0,19.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4,0,0,0,42.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,5.57,0.86,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,6.49,0,0,0,15.9,0,0,0,0.97,0,0,0.9,1.96,0.83,8.31,0,0,0,0,0
 24-34,0,0,0,0,1.27,0,0,2.88,0,0,0,2.14,0,0,0,0,3.64,0,1.08,0,3.18,0,0,3.16,54.1,2.25,1.38,0.68,0,0,0.6,0,0,6.03,11.43,0,0,9.29,0,0
 36-46,0,0,0,0,1.88,0,0,27.23,3.38,0,0.8,8.93,0,0,0,0,0.98,0,0,0,10.16,0,0,3,86.83,0,0.6,0,0,0,1.63,0,0.58,0,19.11,0,0.62,12.39,0,0
 48-58,0.58,0,0,0,1.09,0,0,22.38,2.04,0,0.41,9.72,0.56,0,0.69,0,0,0,0,0,12.16,0.4,0,0,61.28,0,5.23,1.08,0,0,2.71,0,0,0,20.34,0,0,7.19,0,11.12
 60-70,0,0,0,0,3.91,0,0,57.85,1.43,3.47,0,11.17,0,0,0,1.39,0.71,0,0,0.86,22.5,0,0,2.76,54.54,0,0,0.99,0,1.13,22.86,0,0,0,16.97,0.81,0,1.72,0,2.25
 72-82,0,0,0,0,3.76,0,0,70.7,0.55,0,1.62,20.12,0,0,0,1.73,4.23,2.18,0.72,0,12.24,0,0,0,63.97,0,1.63,1.68,0,0,31.71,0,0,0,6.13,0,1.49,0.63,0,0
 84-94,0,0,1.11,0,4.66,0.94,2.35,17.69,0,0.68,0,5.99,2.7,0,0,3.35,9.24,0,0,0.56,5.48,0,1.04,0,33.99,0,3.1,0,0,0,70.57,0,0,0,1.49,0,0,0,0,4.44
 96-106,0,0,1.89,0,34.93,1.17,0,41.48,0.65,2.51,0,7.13,2.66,0,0,5.74,7.27,0,0,0,34.22,3.12,1.82,6,47.03,0,2.73,0,0,3.48,166.39,0,0,0,1.63,0.56,0,11.33,0.63,0
108-118,0,0,0,0,26.69,1.21,0,12.3,1.95,4.88,0,11.82,2.63,0,0,5.45,10.3,0,0.65,0,25.27,4.24,0,4.79,48.95,0,2.76,0,0,0,120.53,0,0,0,0,7.34,0,20.2,1.93,0
120,0,0,0,0,64.45,0,0,20.89,0,6.66,0,2.09,6.57,0,0,7.61,12.42,0,0,0,10.29,3.97,0,1.52,32.92,0,1.45,0,0,0,218.98,0,0,0,10.42,5.49,13.11,4.28,0,0
