stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.02,15.87,0,25.94,0,0,0,0,0,0,0,0,0,29.56,0,0,0,0,0,0,0,0,0,0,52.85,226.27,0,597.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.69,13.6,0,62.21,0,6.59,0,9.76,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,110.51,304.49,0,857.07,0,0,4.36,73.81,0,20.08,0,0,0,0,0,0
 14-21,0,0,0.82,114.54,34.19,49.19,0,6.31,0,0,0,18.78,35.48,0,0,0,0,0,0,0.85,124.67,0,0,715.54,189.53,89.66,0,7.5,0,7.29,1000.26,12.68,292.06,6978.76,27.13,0,0,5.84,0,0
 24-34,0,0,2.69,2.26,6.05,1.31,0,4.16,0,0,3.38,8.72,0,0,0,0,0.61,0,0.74,0,157.57,0,0.89,394.23,73.03,1.83,3.1,0,0,10.08,9.58,0,35.08,736.05,38.55,0,0,0.69,0,0
 36-46,0,0,0.95,0,0.55,0,0,3.22,0,0,0,3.56,1.53,0.76,1.48,0,0,2.16,1.64,0,178.3,0,0,106.84,53.18,2.46,1.27,0,0,27.93,1.63,0,3.97,4.18,9.74,0,0,0,0,0
 48-58,0,0,0,0,0.45,0,0,5.04,0,0,0.63,3.31,0,0,0.44,0,0,0,0,0,163.96,0,1.24,58.72,48.3,0.88,0.46,0,0,4.73,0,0,0,0.55,10,0,0,0,0,0
 60-70,0,0,0.65,0,0,0,0,13.3,0,0,0,0.57,5.97,0,0,0,0,0.7,0,0,197.72,0,0,40.14,55.93,2.95,1.84,0,0,5.07,0,0,0,0,33.68,0,0.79,2.97,0.64,0
 72-82,0,0,4.53,0,2.09,0,0,21.64,0,0,1.7,1.93,13.01,0,2.53,0,0,0,0,0,184.3,3.05,0,24.59,41.21,0,0.59,0,4.68,7.3,0,0,0,0,1.09,5.25,0.9,2.39,0,8.82
 84-94,0,0,6.57,0,0.67,1.17,0.59,15.62,1.33,0,0,2.12,5.2,0.91,4.94,2.43,0,0,0,0,113.62,0,0,27.42,15.82,3.07,0.88,0,0,18.51,0,0,0,0,0.94,0,0,0,0,0
 96-106,0,0,0,0,2.68,0,0,12.16,0,9.02,0,4.01,4.98,0,0,0,0,0,0,0,93.93,5.58,2.54,20.77,16.09,0,0,0,2.49,11.9,0,0,0,0,0,0,1.03,0,0,0
108-118,0,0,0,0,0.52,0,5.58,21.89,0,0,0,4.26,7.55,0,1.62,0,1.19,0.89,0,7.28,68.63,0,2.3,27.67,17.29,0.91,0,0,7.71,5.01,0,0,0,0,2,0,1.1,2.33,0,0
120,0,0,0,0,3.54,0,0,46.07,0,0,1.04,0,1.12,0,0,0,0,0,0,0,115.79,0,1.41,31.19,20.29,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0
