stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,heart,neural,paraxial_mesoderm,spinal_cord,xanthophores
  3-4,0,11.88,0,0,0,0,0,0,0,0,0
  5-6,6.52,27.55,0,0,0,0,0,0,0,0,0
  7-9,4.02,0,0,3.55,0,9.22,0,20.24,3.37,0,0
 10-12,0,0,6.57,0,0,0,0,59.54,9.7,0,0
 14-21,0,0,0,0,0,0,0,1.26,0,1.54,2.62
 24-34,0,0,0,0,0,0,0,5.06,0,1.98,0
 36-46,0,0,0,3.13,0,0,0,3.03,0,2.99,0
 48-58,0,0,0,1.5,0,0,0,1.59,0,0,0
 60-70,0,0,0,0.71,0.96,0,0,0,0,0,0
 84-94,0,0,0,1.29,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.73,0,0,0,0
108-118,0,0,0,0.59,0,0,0,0,0,0,0
