stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,33.43,927.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,0,0,0
  5-6,41.71,170.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.65,0,0,0,0,0,0,0,0,0
  7-9,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88,0,0,0,7.75,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67,28.05,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,2.23,0,0,0,0,0,0.92,0,0,0,0,0,3.15,0,0,0,0,0,0,0.98,0,0
 24-34,0,0,0,0,2.63,0,0,0,0,0,9.18,1.13,0,0,0.81,1.08,14.81,0,0.63,0,0,0,0.7,0,6.21,0
 36-46,0,0,0,0,0.69,1.65,0,0,0,0,11.72,0,0,0,0.66,0.89,82.3,0,1.31,0,0,0,0,7.3,7.76,0
 48-58,0,0,0,2.28,0,12.54,0,0,1.51,0,13.79,1.18,4.43,1.32,2.71,0.46,84.51,0,0,0,0,0.61,6.77,7.23,2.97,0
 60-70,0,0,0,3.12,0,20.08,2.35,1.96,0,1.43,31.45,0,0,0,2.29,0,214.05,0,0,0,0,0,1.22,9.22,6.1,0
 72-82,0,0,0,0,0,43.21,0,3.42,6.95,0,17.53,0.63,0,0,3.1,0.89,254.5,0,0,0,0,0,3.61,14.03,9.04,0.59
 84-94,0,0,0,0,0.69,31.63,0,0,9.47,0,55.35,3.81,0,0.58,0.66,0,158.72,0,0.64,0,0,1.88,9.87,23.75,2.65,0
 96-106,0,0,0,0,7.18,36.2,0.57,0,2.69,0,57,2.27,0,0,6.23,5.7,163.53,0,2.04,0,0,0,5.55,12.53,9.76,0
108-118,0,0,0.49,1.08,2.78,12.08,0.82,0,5.6,0,60.16,4.17,0,0,4.7,1.47,229.89,0.67,0.7,0,0,0,7.32,0.92,6.42,0
120,0,0,0,10.41,0,18.01,0,0,5.49,0,125.86,7.5,0,0,23.13,2,318.23,0,0,2.92,0,0,10.63,17.52,5.68,0
