stage,epidermis,eye,immune,mesenchyme,neural,otic,somites,spinal.cord
 14-21,0,0,0,0,0,0,0.85,1.38
 48-58,0,1.76,0,0.89,1.36,0.54,0,0
 60-70,0,1.34,0,0.68,0,0,0,1.24
 72-82,0,0,0,0,1.97,0,0,0
 84-94,0,3.12,0,0,0,0,0,0
 96-106,0.93,15.74,0,0,0,0,0,0
108-118,0,7.48,0.95,2.07,0,0,0,0
120,0,0,0,0,2.89,0,0,0
