stage,endoderm,eye,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,spinal_cord
  7-9,3.83,0,0,0,0,0,0,5.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.31,0,0
 14-21,0,0,0,0.81,0,0,0,4.87,0,0,0,0,0
 24-34,0,0,0,2.36,0,4.79,0,0,0,0,0,0,0.75
 36-46,0,0,0,0,0,3.95,0,4.56,0,0.89,0,0,2.1
 48-58,0,4.14,0,0,0.56,0,0,2.25,0,0,0,0,0
 60-70,0,0,0,3.34,0,1.02,0.88,9.12,0,0,0,0,6.83
 72-82,0,1.65,0,0,0,0.98,0,1.75,0,0,0,0,2.32
 84-94,0,3.17,0,0,0,0.76,0,1.98,1.84,0,0,0,0
 96-106,0,7.85,0,0,0,0,0,0,0,0.65,0,3.82,0
108-118,0,12.67,2.89,1.69,0,1.22,0,6.17,0,0,0,0,0
120,0,13.19,0,0,0,0,0,0,0,0,0,0,0
