stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,141.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0
  5-6,40.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,20.02,5.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,3.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,1.07,0.82,1.78,0,0.84
 24-34,0,0,0,1.11,0,0,0,0,0,0,0,0,0,1.61,0,0,3.48,0,0,0,1.01,0,0.78,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.78,0,0,0,0,0,0
 48-58,0,0,0,0,3.18,0,0,0,0,0,0.54,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,13.19,0,1.25,0,0,0,0,0,0,5.41,0,0,2.99,0,0,0,0,0,1.85,0,0
 72-82,0,0,1.53,0.57,4.39,0,2.11,0,0,0,0,0,0,3.1,0,0,3.32,0,1.42,0,0,0,0,0,0
 84-94,0,0,0.8,1.12,0,0,4.21,0.58,0,0,2.39,0,0.96,1.31,0,0,6.6,0,0,0,3.47,0,0,0,0
 96-106,0,0,0,0,1.79,1.11,0,0,0,0,3.85,0.66,0,0,0.59,1.33,1.88,0,1.03,0,5.37,0,0,1.82,1.36
108-118,0,0,0.85,0,0,0,14.02,0,0,0,5.36,0,0,0.66,0,1.14,7.49,0,0,0,1.62,0,3.72,0,2.91
120,0,0,0,0,0,0,0,0,0,2.11,6.29,1.72,0,7.16,0,0,0,0,0,0,0,0,0,0,0
