stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
 14-21,0.88,2.71,0,0,0,0,0,0,0,0,0,16.19,0,0,13.25,1.16,2.93,0,0,0,0,5.63,8.54,43.88,0,0,0,0
 24-34,21.21,0,2.03,0,0,5.83,0,0,0,0,0,74.37,0,0,20.54,16.88,8.3,0,0.74,0,0,0,0,4.97,1.22,0,0,2.64
 36-46,44,0,3.64,17.2,1.09,15.69,0,0,1.09,0,0,52.06,0,0,13.3,6.29,7.5,0,0,0,0,0,0,0,0,0,0,0.72
 48-58,1.75,0,3.12,5.96,0,25.6,0,0,0,0,0,19.01,0,0,4.06,14.16,0.5,0,0,0,0,0,0,0,10.29,0,0,10.53
 60-70,29.21,0,3.94,2.59,0,92.1,0,2.12,0,0,1.56,61.04,0,0.93,0,15.09,7.47,0,0,0,0,0,0,0,12.58,0,0,3.21
 72-82,28.19,5.84,10.01,2.92,1.56,149.61,0,1.29,0,2.04,0,88.47,0,0,0,13.85,0,0.55,0,3.01,0,0,0,0,0,0,0,8.13
 84-94,40.46,0,2.33,9.53,3.19,108.44,0.62,4.08,0,2.93,4.3,73.92,0,4.57,0,10.08,1.8,0,0,0,0,0,0,0,2.8,0.55,0.75,9.09
 96-106,37.74,0,16.91,5.32,4.79,167.56,0.59,0,0,9.6,0,84.11,0,0,5.39,16.21,0.81,0.81,4.63,2.4,2.37,0,0,0,8.51,0,0,11.91
108-118,95.42,0,9.54,26.93,0,230.62,0,24.1,0,1.34,0,98.01,4.6,0,0.76,15.31,0,1.01,1.79,3.19,2.91,0,0,0,0,0.66,0.63,4.29
120,118.56,0,48.46,31.21,3.3,332.19,0,10.97,0,2.34,0,127.2,2.25,0,0,26.51,1.12,0,15.85,0,0,0,0,0,0,0,0,0
