stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.32,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0
 10-12,5.28,0,4.05,0,0,20.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.12,4.42,0,0,23.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.81,0,0.98,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,50.87,0,1.82,0,1.91,0,1.32,0,0,1.21,38.95,0,0,0,0
 24-34,0,0.84,0,4.13,0,3.69,0,0,0,0,0,0,0,0,0,0,4.51,0,0,1.1,345.28,0,5.75,1.99,0,0.92,0,0,0,0.6,120.38,0,0,0,0
 36-46,0,0,0,1.07,0,63.67,0,0,0,4.62,0,0,0,0,0,0,0.9,0,0,0,890.55,0,2.16,0,0,0,0,0,0,0,186.02,0,0,0,0
 48-58,0,0,0,4.52,0,112.08,0,0,2.76,40.38,0,0,0,0,0,0,7.91,0,0,0.78,1117.02,0.71,3.84,1.87,0,8.14,0,0,0,0,204.14,0,3.96,0,2.05
 60-70,0,0,0,0,0,202.83,0,0,0.73,25.18,1.59,0.87,3.2,0,0,0,12.03,3.18,0.81,0,1100.85,0,4.67,2.12,0,7.32,0,0.97,1.01,0,200.46,0,0,0,5.84
 72-82,0,0.79,0,8.64,6.19,251.09,0,0,1.82,14.11,0.56,0,0,2.11,0,0,27.28,1.05,0,1.45,948.45,0,6.44,0,0,0,0,0,0,0,96.94,0.63,3.9,0,0
 84-94,0,0,0,3.58,1.32,162.2,0,0.57,0.93,20.72,0,0,0,0,0.64,0,17.28,0,1.87,0,718.41,0,1.88,2.53,0,0,0,0,0,0,61.68,0,7.4,0,0
 96-106,0,0,0,7.39,6.32,162.7,0,0,1.24,17.31,0.67,1.3,0.56,0,0,0,11.92,0,0,3.05,566.27,0,5.71,3.93,0,0,0,0,0,0,22.96,0,0,0.87,5.1
108-118,0,0,0,0.42,0,157.22,0,0,1.61,11.56,0,0,0.78,0.44,0.55,0.45,4.47,0,0,0,685.1,0,1.37,3.52,0,1.1,0,0.76,0,0,28.04,0,0,0,0
120,0,0,0,6.45,0,102.68,12.08,0,0,33.83,0,4.26,2.67,0,0,0,20.9,0,0,3.16,974.51,0,0,0,0,0,0,0,0,0,17.39,4.12,1.1,0,0
