stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.8,0,0,0,0,0,3.44,1,0,0,0,0,0,0,42.7,0,0,0,99.25,0,0,0,0,0,0,0,0,400.6,0,0,28.73,0,0
 24-34,0,0.66,14.04,0,4.23,0,0,0,0,0,0,0,0,1.57,0,0,115.12,0,0,4.4,115.86,1.02,0,0,0,2.13,0,0.79,0.71,610.77,0,0,332.71,0,0
 36-46,0,0.68,10.47,0,5.12,0,0,0,59.67,0,0,0,0,0,0,0,119.53,0,0,3.55,194.36,0,0,0,0,0.77,0,0,0,399.21,0,0,385.89,0,0
 48-58,0,4.27,0,0,11.09,0,0,0.86,641.65,0,4.04,1,0,0,0,0,434.43,0,0,1.5,205.87,0,0,0,0,0.53,0,0,0,405.93,0,0.44,440.26,0,0
 60-70,0,8.08,0,0,19.29,0,0,0,1720.86,0,0,2.34,0,0,0,0,416.69,0,0.88,9.45,94.37,0,0,0,0,1.77,0,0,0,220.11,0,0,366.08,0,0
 72-82,0,63.09,4.38,0,191.6,0.55,0,3.11,2060.38,4.41,12.94,0.94,19.01,0,0,8.04,1662.77,17.64,0.87,1.6,153.5,0,0,3.84,1.06,0,0,0,0,279.25,3.95,3.48,973.08,3.77,11.37
 84-94,0,5.5,7.25,0,138.58,0,0,0.77,1393.18,5.56,0,2.29,0.69,0,0,0,2040.42,0,0.61,0.91,35.8,0.64,0,0,0.83,0.8,0,0,0,137.55,0,0.62,763.24,16.23,44.79
 96-106,0,19.61,19.1,1.07,122.06,0,0,0,1536.13,2.96,1.03,1.59,3.17,0,0.84,0,1729.65,0,3.2,10.89,175.57,0,4.26,0.78,7.99,13.44,2.71,0,0,313.28,0.67,4.21,1197.48,16.19,0
108-118,0,5.96,10.23,7.23,105.15,0.46,9.36,20.01,1560.2,3.57,0,0.5,0,0,0,0,1575.51,0,5.68,8.29,68.53,0,0,2.59,1.35,3.68,4.81,0,0,204.91,0,8.98,1014.16,27.09,0
120,2.96,16.52,2.21,0,66.3,0,0,0,1337.44,1.2,3.15,10.61,0,0,0,0,1317.1,0,1.41,1.51,76.8,0,0,0,0,3.82,0,0,0,140.82,0,6.14,598.47,39.69,8.45
