stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,1.38,0,0,0.99,0,4.7,3.35,0
 24-34,0,0,0,0,0.89,0,0,1.08,0,0,0,0,0,0,0,0,0,0,1.23,0,0.81,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0
 48-58,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1.77,0,0,0.65,1.29,0,2.11,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,1.46,0
 72-82,0,0,0,0,0,1.89,0,0.62,1.26,0,0,0.88,1.12,1.26,5.46,0,0,2.47,0.64,0,0,1.88
 84-94,3.73,0,0,0,0.64,0.79,0,0,1.65,0.63,0,4.28,0,0,6.24,0,0,5.74,0,0,0,0
 96-106,1.41,0,0,0,8.85,5.23,0.96,1.85,0,0,1.03,3.46,1.58,0,13.06,0,0.64,2.64,8.33,0,8.21,0
108-118,2.38,0.67,0,9.17,15.22,16.57,0,1.5,7.67,0,0,11.65,0,6.79,24.2,0,2.26,12.96,5.25,0,0,0
120,1.43,0,1.64,0,3.97,40.84,0,0,8.58,0,0,7.12,6.02,19.36,18.87,0,1.92,19.33,6.03,0,12.44,6.17
