stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,13.83,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.04,0,0,0,0,0
 14-21,0,65.51,0.88,0,0,1.28,0.86,0,2,0,0,15.02,0,3,8.31,0,1.98,1.88,1.83,0
 24-34,0,8.27,0.66,3.43,0,0,0,0.98,0,0,0,12.98,0.81,1.14,5.69,0,0,0,0,1.37
 36-46,0,10.4,0,8.79,0,1.17,0,0,0,0,0,10.37,0.89,1.75,7.73,0.6,0,0,0,1.17
 48-58,0,0.37,0,0.37,0.57,0,0,0.49,0,0,0,3.74,0.4,0,19.46,0,0,0,0,1.48
 60-70,0,0.71,1.6,0.8,0,0,0,0,0,0,0,8.13,0,0,20.41,0,0,0,0,4.49
 72-82,0,0.71,0,0.66,1.26,0,0,0,0,0,0,1.92,0,0,21.62,0,0,0,0,2.57
 84-94,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,0,0
 96-106,0,0,0,1.03,0,0,0,0,0,0,2.39,2.4,0,0,0,0,0,0,0,0
108-118,0,0,0,0.52,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0
120,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0
