stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.49,107.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0
  5-6,8.71,111.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.63,0,0,0,14.1,0,0,0,0,0,0,0,0,48.51,0,0,13.87,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,62.96,5.55,0,16.31,0,0,5.29,0,0,0
 14-21,0,0,0,1.4,0,0,1.95,0,0,0,0,0,1.17,0,0,16.73,0,0,0.87,0,2.83,0.82,0.95,5.99,0
 24-34,0,0,0,0,0,0,3.86,1.55,0,0,0,0,1.52,0,1.57,40.37,0,0.69,0,0,0,0,0,5.98,0
 36-46,0,0,0.59,0,0,0,3.72,0.58,0,0,0,0,2.08,0,0.68,37.95,0,0,5.14,0,0,0,0,9.25,0
 48-58,0,0,0,0,0,0,11.91,3.73,0,0,0,0,8.51,0,0.48,31.22,0,0,0,0,0,0,0,7.99,0
 60-70,0,0,0,0,0,0,16.5,2.72,0,0,0,0,13.09,0,0,33.12,0,0,0,7,0,0,0,2.59,0
 72-82,0,0,0,0,0,0,10.42,0,0,0,0,0.81,6.09,0,0,28.5,0,0,0,0.53,0,0,0,1.92,0
 84-94,0,0,0,0.62,0.83,0,3.81,0,0,0,0,0,1.22,0,0.55,13.5,0,0,0,0,0,0,0,0,2.46
 96-106,0,0,0,0,0,0,13.31,0,0,0,0.72,1.64,4.24,0,0,15.53,0,0.59,0,0,0,0,0,0,0
108-118,0,0,0,0.45,1.55,0.46,6.3,3.96,0.68,1.49,0,0,2.95,0,0,16.49,0,0,0,1.03,0,0.41,0,0,0
120,0,0,0,0,0,0,3.03,0,0,0,0,0,0,8.27,1.86,0,0,0,0,0,0,0,0,0,0
