stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,150.81,5169.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.96,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,983.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,16.61,43.83,0,0,0,0,0,0,0,0,0,0
  7-9,32.01,0,0,15.1,0,0,53.71,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,421.25,249.76,0,0,118.16,174.36,16.3,0,0,0,0,0,0,0,0,0
 10-12,0,16.17,0,249.6,0,0,31.16,0,0,0,0,0,34.43,0,0,0,0,0,0,0,0,0,0,812.86,557.56,0,0,119.57,152.34,7.55,0,12.72,0,0,0,0,0,0,0
 14-21,0,0,0,10.2,77.63,0,10.39,0,0,0,0,7.35,0,0,0,13.07,0,0,0,0.86,4.8,0,0,44.71,295.84,6.74,2.86,6.63,583.89,3.45,1.89,0.86,0,1.81,115.54,0,0,0,0
 24-34,0,0,2.01,22.08,49.36,0,5.92,0,4.02,0,1.29,0.67,0,0,0,27.05,0,7.46,8.06,1.11,20.88,0,1.78,314.47,373.6,72.95,30.89,0,449.9,0,0,1.61,2.4,0.75,189.64,0,0,0,0
 36-46,0,0,0,0,19.22,0,7.82,2.14,3.87,0,3.33,1.44,0.76,0.93,0,15.08,0,3.4,0,1.39,16.31,0,4.03,502.61,450.08,73.49,11.01,0,538.35,0,0,0.72,2.25,0,76.65,0,0,0,0
 48-58,0,0,0,0.52,31.68,0,19.44,0,4.32,0.45,2.41,1.56,4.33,1.58,0,15.81,6.55,3.17,0,7.32,35.5,0,0,283.34,225.16,44.36,1.12,0,329.14,0,0,0,0,0,22.54,0,0,0,6.1
 60-70,0,0,0,0,63.3,0,17.83,0,5.06,0,1.16,4.43,2.81,0,0,16.03,0,5.02,0,8.69,57.2,1.92,4.77,150.92,94.05,47.98,1.3,0,470.62,0,0,1.17,3.17,0,15.69,4.05,0,0,7.44
 72-82,0,0,6.58,0,35.19,0,27.15,0,4.42,0,6.66,15.95,2.29,0,0,16.79,0,4.84,0,8.05,59.05,0,0,126.26,34.28,61.81,4.16,0,327,0,0,0,0.53,0,12.51,28.76,0,1.81,0
 84-94,1.23,0,5.97,0,74.48,10.72,23.33,1.08,11.41,0,1.17,56.7,4.18,0,0.69,28.32,0,4.26,5.29,7.09,94.34,1.17,0.68,197.33,59.43,52.48,10.78,0,1008.31,0,0,0.96,1.43,0,10.55,121.05,0,4.88,0
 96-106,0,0,3.21,0,112.58,1.37,40.08,1.3,11.08,0,5.2,108.06,0,0,0.9,28.75,0,3.99,0,13.39,86.86,0,0,159.36,30.63,99.51,11.36,0,869.49,0,0,0.69,0,0,11.93,202.69,0,5.07,0
108-118,0.67,0,3.26,0.74,145.71,0,14.41,0.43,13.1,0,8.34,127.22,2.74,0.49,4.08,33.61,0,2.96,0,23.32,124.58,1.16,1.73,100.42,40.52,51.24,5.22,0,661.66,0,0,6.45,0.5,0,11.17,272.43,0,4.08,0.51
120,0,0,1.22,0,137.48,0,20.37,0,18.97,0,1.31,68.48,0,0,0,39.27,0,1.74,3.79,10.88,73.76,0,0,62.27,43.76,86.27,3.59,0,396.42,2.5,0,0,0,0,7.68,78.24,6.45,0,0
