stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,138.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0
  5-6,6.74,139.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0
  7-9,0,8.84,0,4.21,0,3.49,0,0,0,0,0,0,0,0,0,0,0,47.88,3.99,0,0,36.83,0,0,0,0,0,0
 10-12,0,0,0,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,47.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.23,0.92,0,0,0,0,0,0,0,2.2,0,0,0,3.44,0,0,0,0,1.67,0.93,0,2.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0.61,3.54,0.64,0,0,0,3.63,0,0.65,1.52,0,0
 36-46,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,1.14,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.59,0,0,0,0,0,0,0,1.67,0,0,0,1.3,0,0,0,0,0,0,0,0.66,0,0
 60-70,0,0,0,0,0,3.47,0,0,0.57,0,0,0,0,0,0,0,0,6.9,0,0,1.97,0,4.29,0,0,0,0,0
 72-82,0,0,0,0,4.38,1.55,0,0,2.25,1.52,0,0,0,0,1.23,0,0,0.52,0,1.05,0,0,0.52,0,0,0,0.75,0
 84-94,0,0,0,0,8.06,3.58,2.31,2.16,0,1.31,2.34,0,0.98,0,0,0.69,0,0,0,0,0,0,19.83,0,0,0,0,1
 96-106,0,0,0,0,9.28,0.58,0,0,0,0,0.86,0,0,0,3.74,0,0,3.45,0,0,0,0,14.74,0,0,0,0,0
108-118,0,0,2.91,0,12.17,1.63,0.74,0,0.52,0,1.9,0.76,0,0,0,0,0,4.31,0,0,0,0,7.16,0,0.48,0,0,0
120,0,0,0,0,3.5,3.1,0,0,0,2.93,0,0,0,2.53,0,0,0,2.41,0,0,0,0,5.72,0,0,0,5.48,0
