stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,63.05,1019.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.1,1302.14,0,0,0,0,0,0,0,0,0,27.43,0,0,0,0,8.81,0,0,0,0,0,0
  7-9,6.54,0,0,6.68,0,0,0,0,0,0,0,224.66,5.47,0,0,29.99,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0.96,0,0,3.75,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,1.33,5.43,4.75,0
 36-46,0,0,0,0,0,1.64,0,0,0,0,0,8.96,0,1.67,0.8,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.27,0,0,0,0,0,0,0,20.43,0,0,0,0,1.68,0,0,0,5.13,0.45,0
 60-70,0,0,0,3.07,0,7.92,0,0,0,0,1.6,16.3,0,0,0,0,0,0,0,0,1,0,0
 72-82,0,0,0,1.89,1.27,1.71,0,1.21,0,0.79,0,28.54,0,4.05,0,0,0.61,0,0,0,2.25,0,1.16
 84-94,0,0,0,0,0,0,0,0,0.92,1.85,0,10.99,0,0,0,0,2.3,0,0,0,0,0.74,0
 96-106,0,0,0,16.62,0,4.28,0,2.03,0,4.41,0,1.5,0,0,0,0,0,0,0,0,2.11,0,0
108-118,0,0,0,10.44,0,0.63,2.21,0,0.95,3.88,0,8.88,0,0,0,0,2.61,0,0,0,0,0,0
120,0,0,0,12.84,0,0,0,0,0,6.32,0,12.81,0,0,0,0,6.14,0,1.12,0,0,0,0
