stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,11.41,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.74,0,0,0,0,0,0,12.06,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,5.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.79,0,1.43,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0.91,1.86,0,15.57,8.38,0,0,0,0,0,0,0,0,69.93,455.12,2.16,0,0,0,0,1.46
 24-34,0,0,0,0,3.45,0,0,2.56,7.71,0,3.45,4.03,0,0,0,0,54.54,1.49,0,0,0,30.22,0,0,45.21,68.94,1.17,0,0,0,0,1.38,0,0,135.62,282.69,5.62,0,0,2.34,0,16.35
 36-46,0,0,0,0,0,0,0,4.15,6.12,0,8.06,22.47,0,0,0,0,29.58,18.64,0,0.93,0,151.08,5.39,0,56.81,135.09,4.5,0,0.91,0,0,3.07,0,0,72.59,24.27,12.25,0,0,0,0,2.04
 48-58,5.19,0,0,0,3.05,0,0,61.3,0,0,17.8,217.78,0,2.55,0,0.6,17.69,42.8,0,0,0,859.71,1.1,3.14,67.41,239.99,0,0,0,0,0,7,0,0,35.36,0,41.07,0,0,1.02,0,14.49
 60-70,0,0,0,0,18.17,0,0,177.9,1.5,0,58.82,205.63,0,0,0,3.09,17.69,24.02,0.8,1.2,0,1534.91,0,8.52,129.73,158.64,0,0,0,0,1.92,0,0,0,7.73,0,40.04,0,0.94,1.87,2.76,0
 72-82,0,0,3.64,0,35.08,0.52,0,250.07,1.22,1.5,74.04,414.84,1.51,0,1.42,0,41.74,34.21,0,0.96,0,2406.12,0.59,2.17,147.58,295.07,0,0,0.99,0,3.54,0,0,0.73,3.05,0,43.03,5.24,6.08,1.56,5.8,0
 84-94,0,0,0,0,61.32,1.65,0,323.28,2.68,3.75,26.43,219.52,0,0,0,0,44.24,26.38,2.18,0,0,2014.76,8.05,11.73,95.26,250.29,0,0,0,0,0,0,0,0,0,0,12.32,1.01,3.84,3.65,2.46,0
 96-106,0,0,2.82,0,33.69,3.34,2.47,314.33,0.9,10,37.98,475.27,1.41,0,12.14,0.66,64.14,33.48,0,6.82,7.05,2812.63,1.75,7.53,143.89,344.1,0,0.74,1.72,0,7.4,7.53,0,6.83,2.09,0,6.95,0.83,15.15,2.2,8.7,0
108-118,0,0,0,0,16.36,6.75,0.5,252.54,0,0.76,51.32,400.57,0.75,0,0.93,4.02,61.5,87.84,0,0,0,3527.63,1.89,5.21,114.99,311.96,0.44,0,1.79,0,1.79,9.77,0,0,4.25,0,3.21,1.6,6.98,0.49,4.13,4.17
120,0,0,0,0,14.24,1.06,11.94,163.5,1.06,3.88,60.52,287.99,0,0,7.67,2.39,26.19,28.07,0,5.66,0,2597.55,0,33.76,43.58,333.11,0,16.14,0,0,0,10.92,0,0,11.49,0,0,2.31,48.84,7.96,2.7,10.22
