stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,9.87,0,0,0,7.46,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0.98,6.46,0,0,0,0,0,4.81,0,0,8.28,4.06,0,0,0,0,0,0,0,0,51.04,5.39,31.96,0,0,0,0,0
 24-34,0,0,0.62,0,0.97,0,0,0,0,2.67,16.35,0,0.69,0,0,1.75,4.84,0.83,0,3.7,28.99,0,0,0,0,0,0,0,1.06,74.1,0.61,103.21,0,0,3.27,0,0
 36-46,0,0,1.48,0,4.22,6.84,1.58,0,0.56,0,4.54,0,0,0,0,4.68,5.64,0,0.7,35.69,22.05,14.7,0.68,0,0,0,0,0,0,57.64,2.04,126.7,0,0,9.62,0,0.9
 48-58,0,0,4.09,0,5.75,11.77,0,0.86,2.74,0,0.51,0,0,0,0,0,6.24,0,0,6.95,60.26,0,1.29,0,0,0,0,0,0,19.77,0,146.37,0,0,0,0,0
 60-70,0,0,4.64,0,12.88,1.98,0,1.28,11.8,0,0,0,0,0,0,0,21.64,0,0,1.76,44.35,0.66,0,1.88,0,0,0,0,0.62,15.82,0,167.63,0,0,0,1.46,0
 72-82,0,0,0,2.7,12.01,6.05,0,0,25.36,0,0,0,0,2.9,0,0,30.24,0,0,4.43,81.17,0,1.3,0.59,1.13,0,0,0,0.97,4.2,0,236.31,0.87,0,2.52,0,8.15
 84-94,0,0,6.15,4.06,16.01,11.67,0,0,4.81,0,0.8,0.65,0,0,0,0,30.98,0,0,8.28,77.7,0,7.07,2.51,0,0,1.89,0,5.98,7.74,0,122.8,0,0,0,1.34,0
 96-106,0,0,6.69,0,7.43,38.3,2.75,0,12.48,1.54,0,0,0,0,5.9,0,55.18,0,0,5.88,103.48,0,0,1.85,0,0,0.87,0,1.52,8.48,0,85.77,0,0,1.72,0,10.64
108-118,0,4.9,1.84,0,11.56,23.48,0,0,26.9,1.06,0,0,0,0,0.61,0.59,26.01,0,0,15.59,99.38,0,1.54,4.01,0,3.72,0,0,0,7.09,0,102.12,0,0.6,0,0.96,0
120,0,0,5.23,3.75,15.96,28.34,2.39,0,17.48,0,0,2.8,0,0,0,0,45.2,0,0,20.12,158.03,0,0,3.85,0,0,0,2.5,2.12,3.21,0,220.03,0,0,0,10.63,0
