stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,1110.21,5653.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.3,0,0,0,0,0,0,0,0,0,0
  5-6,2465.61,9734.9,27.78,0,0,0,0,0,0,0,0,92.01,0,0,0,0,0,0,0,0,0,0,0,1232.17,147.87,0,0,341.03,184.16,0,0,0,0,0,0,0,0,0,0
  7-9,121.01,85.56,63.52,0,0,38.89,0,0,0,0,0,46.41,0,0,0,0,0,0,0,0,0,0,0,3352.81,317.73,0,0,2483.47,21.67,38.87,0,0,0,0,0,0,0,0,0
 10-12,0,61.2,17.57,0,0,42.12,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0,3367.21,54.78,0,0,2110.45,0,14.95,0,25.02,0,0,0,0,0,0,0
 14-21,0,0,0,26.07,1.76,12.8,0,2.36,0,39.55,1.04,0,0,0,0,0,0,0,0,69.18,0,0,28.55,552.72,11.29,0,0,80.06,2.49,0,3.82,1.36,0,9.41,609.06,0,0,0,0
 24-34,0,0,0,7.98,4.43,37.62,0,2.69,3.81,39.61,3.93,0,3.08,0,0,0,5.96,0.62,0,228.52,0,0,86.47,628.86,9.72,0,3.53,0,6.7,0,0,1.43,0,2.98,215.88,0,0,0,0
 36-46,0,0,0,4.37,0,28.22,0,0,9.35,17.28,1.17,0,0,0,0.78,0,1.09,0,0,372.3,0,0,66.86,389.75,0.66,0,14.4,0,8.16,0,0,0,0.93,0,108.22,0,0,2.56,0
 48-58,0,0,0,4.01,0,17.52,0,0,12.95,16.33,0,2.63,0,0,0,0,1.85,0,0,310.92,0,0,48.82,195.9,0,0,6.16,0,0,0,0,0,0,0,29.55,0,0,5.66,0
 60-70,0,0,0,18.55,0,35.38,0,0,27.06,19.48,0,0,0,6.3,0,0,1.84,0,0,734.96,0.85,28.3,31.02,197.08,0,0,3.54,0,5,0,0,0,0,0,4.41,2.28,4.5,0,0.73
 72-82,0,0,0,6.25,0,40.4,0,0.5,3.67,16,0,0,0,0,0,0,0,0,0,283.27,0,0,23.4,110.19,0,6.8,4.31,0,0,0,0,0,0,0,14.99,0.77,3.59,4.14,0
 84-94,0,0,0,8.7,0,27.87,0,0,6.41,36.24,0.72,0,0,0,2.03,0,0,0,0,261.77,0,1.36,24.99,53.02,0,0,7.22,0,0,0,0,0,0,0,20.57,5.45,15.55,24.12,0.89
 96-106,0,0,0,15.66,0,22.31,3.09,0.63,17.12,13.33,0,0,0,0,2.92,0.81,1.2,0,0.71,269.11,0,3.13,17.43,90.15,0,1.65,7.69,0,1.19,0,0,0,0,0,8.25,28.89,3.72,0,0.69
108-118,0,0,0,14,3.27,24.61,0,4.09,24.04,26.62,0,0,0,0,2.28,0,1.95,0,0.55,349.79,0,3.63,12.15,92.33,2.12,0.42,4.93,0,9.25,0,0,0,0,0,0,37.04,0,9.27,3.84
120,0,0,0,14.21,0,38.43,0,1.73,12.29,20.6,1.33,0,0,0,4.94,0,0,0,0,276.5,0,0,34.63,100.32,0,0,2.44,0,0,0,0,0,0,0,7.65,31.79,0,20.19,28.27
