stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  5-6,11.07,0,0,0,0,0,0,0,0,0,21.64,0,0,0,0,0,0
 10-12,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,22.82,0,0,0.73,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,69.84,1.73,0,7.15,1.32,0,0
 48-58,0,0,0,7.63,0,0,1.38,0,1.16,0,101.4,2.63,0,0,3.04,0,0
 60-70,0,0,0,2.06,0,0.72,0,0,1.37,0,99.63,2.49,0,0,1.84,0,0
 72-82,0,0,0,17.38,6.88,0,8.93,0,0,0,177.23,15.4,0,0,16.91,0,0
 84-94,0,0,0,16.81,0,0,12.73,0,0,0,151.8,20.7,0,0,3.87,0,0
 96-106,0,0,0.56,15.95,0,0,0.59,0,0,2.11,112.29,31.87,0,0,4.17,0,10.93
108-118,0,0.59,0,15.46,0,0,8.18,0.91,0.79,0,150.21,12.22,0,0,0,0,0
120,0,0,0,19.56,0,0,12.2,0,0,0,181.83,12.31,14.75,0,0,2.09,0
