stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  5-6,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,17.31,0,0,0,0,0,0,6.79,0,0,0,15.75,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0.91,0,0,0
 24-34,0,1.28,0,0,1.15,0,0,0,0,0,0,0,0,0,0,34.36,1.04,0,0,0,0,9.07,0,0,0
 36-46,0,0,0,0,0,0,0,2,0,0,0,0,0,0.89,0.67,133.39,0,0,0,0,0,34.14,0,0,0
 48-58,0,0,0,0,14.41,0,0,1.78,0,0,0,0,0,5.86,0,228.54,0,0,0,0,0,30.94,0,0,0
 60-70,0,0,0,0,148.19,0,0.87,2.36,0,0,0.78,0,0,0.79,0,360.41,0,0.96,0,0,0,46.63,0,0,0
 72-82,0,1.89,0.54,0,252.29,0,2.26,1.52,0,0,0,0,0,3.35,0,425.62,0,0,0,0,0,43.25,0,1.67,8.9
 84-94,0,0.66,0,0,138.2,0,0,2.47,0,0.65,0,0,0,8.16,0,276.27,0,0,0.59,0,0,25.4,0,1.59,0
 96-106,0,0,0,0,133.13,0,0,4.36,0,0,0,0,0.67,1,0.63,252.35,0,0,0,0,0,7.94,2.03,0,0
108-118,0,2.46,0,4.57,148.76,0.65,0,12.94,0,0,1.01,0,0,1.17,0,269.89,0,0,0,0,0,9.89,0,0,0.43
120,0,9.29,0,0,109.62,0,0,3.18,0,0,0,1.74,0,0,0,401.93,0,0,0,0,1.45,19.43,0,0,0
