stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,216.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,12.58,89.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0
  7-9,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.15,3.43,0,0,8.19,0,3.76,0,0,0,0,0,0,0,0,0
 10-12,0,5.5,0,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.12,10.25,0,0,44.15,0,7.86,0,29.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.57,6.81,0,3.82,0,0,0,0.85,1.1,1.97,1.08,0,0,0,4.61,0,4.02,33.46,1.32,0,0,1.46,0,6.24,0.95,0.85,0.87,11.26,0,0,0.98,0,0
 24-34,0,0,0,0,13.23,1.2,0,2.1,2.28,0,0,0.91,0,0.7,1,0,0,1.43,8.81,0,4.4,32.53,0,0,2.02,0,0,51.19,1.1,0,0.65,9.33,0,0,0.79,0,0
 36-46,0,0,0,0,11.04,0,0,2.14,0.62,0,8.7,0,0,0,0,0,0,0,11.13,0,1.12,16.3,1.63,0,0.57,0,0,37.98,0,0,0,2.41,0,0,6.54,0,0
 48-58,0,0,0,0,5.97,0,0,13.5,1.1,1.96,10.27,0,1.35,0,0,0,0.53,0,11.8,0,0,15.51,2,0.44,7.51,0,0,44.28,0,0,0,5.87,0,0,3.34,0,0
 60-70,0,0,0,0,2.67,0,0,1.39,1.97,1.6,39.35,3.86,0,0.92,0,1.62,0,1.72,15.3,0,0,3.75,0,0,0.87,0,0,27.72,0,0,0,2.24,0,0,10.57,0,0
 72-82,0,0,0,0,4.46,0,0,4.83,1.46,1.9,28.06,1.64,0.87,2.74,1.41,0,0,0,29.5,0,0,13.52,0,0.74,0.5,0,0,7.28,0,0,0,2.59,0,0,2.92,0,0
 84-94,0,0,2.24,0,21.12,0,0,3.45,12.67,0,19.45,4.87,0,13.81,0,0,0,0,35.76,4.67,1.26,8.22,0,0,5.39,0,0,49.89,0,0,0,0,0,0,7.9,0,0.59
 96-106,0,0,0,0,6.48,0,0,3.52,1.68,0.59,17.72,2.91,2.75,11.54,1.42,0,2.64,0,18.21,0,1.12,6.07,4.22,2.12,1.77,0,0.99,15.93,0,0,0,0,0,0,8.39,2.27,1.24
108-118,0,0,0,0,30.89,0.7,0.55,6.37,5.57,0,20.33,10.3,0,8.13,0.64,1.72,3.49,0,47.52,0,0.57,21.2,1.26,0,2.32,0,2.05,17.49,0,0.44,0,0,1.63,1.16,4.57,0,0
120,0,0,0,0,61.63,3.54,0,0,4.3,0,43.96,1.93,2,8.03,7.93,3.04,0,3.61,76.51,0,0,31.49,7.84,0,0,0,0,19.29,0,0,0,0,0,0,3.46,0,0
