stage,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,17.39,0,0,0,0,0,0,0,0,0,0
  5-6,44.99,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.03,0,0,0,12.11,0,0,0,0,0
 10-12,0,0,0,0,0,14.4,7.9,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.62,0
 36-46,0,0,0,0,0.57,0,0,1.44,0,0,0
 48-58,0,0,0,0.89,0,0.49,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.76,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,3.22
