stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.8,4.94,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.19,0,1.74,0,0,0,0,0,78.79,0,0,0,0,0
 24-34,0,4.84,6.36,0,0,20.48,0,0,0.69,3.7,0.63,0,0,0,0,0,0,1.95,0,0,0,1.12,1610.54,0,10.84,0,0,0,0,0,818.54,0,0,2.03,0,0
 36-46,0,1.59,1.57,1.14,0,55.22,0,0,0,5.37,0,0,0,0,0,0,0,0,3.81,0,0,1.24,3958.65,0.66,11.12,1.05,0,2.49,0,0,1703.93,0,0,1.37,0,0
 48-58,0,5.24,14.27,6.98,0,227.55,0,1.47,5.98,40.46,0,0,0,1.91,5.68,0,0,3.99,15.16,0.7,0,7.52,4909.22,7.35,14.13,4.89,0,4.69,0,0,1790.23,0,0,4.3,0,11.36
 60-70,0,0,9.94,2.33,0,1019.24,0,7.35,2.5,37.12,6.9,0,0,0,0,0,0,1.76,37.64,0,5.65,0.98,7052.8,5.95,13.61,4.03,0,19.06,0.6,5.06,2329.32,0,0,1.82,0,11.75
 72-82,0,3.05,18.93,0.53,0,1354.92,0,2.07,9.77,54.15,0.56,0,0,1.88,2.77,0,5.18,1,34.52,0,0,1.25,5083.77,0,16.03,1.77,3.01,1.31,0,0,1262.89,1.9,0,0,1.16,12.99
 84-94,0,0.66,21.87,0,0,1047.11,0,0,2.2,46.72,0,0,1.8,1.07,0,1.29,0,0,48.03,0,18.46,4.87,3577.69,2.17,8.37,3.95,0,3.82,0,0,914.43,0.9,2.49,1.47,0.61,0
 96-106,0,0.99,20.25,1.67,0,884.21,0,0,2.75,42.51,0,0,1.61,0,0.66,3.76,0,0.69,42.09,5.92,0,6.07,2923.32,1.93,6.5,7.53,0,3.5,0.7,0,449.93,0,0.88,9.7,0,6.32
108-118,0,1.44,39.69,0.94,2.73,840.47,1.3,1.12,6.46,31.68,2.96,0,0,0.82,0,7.14,0,0,24.48,0,0,0.92,3043.59,0,5.68,0,0.92,0,0,0,388.18,0,1.46,3.73,0.73,1.3
120,2.82,0,28.82,18.03,0,917.02,0,1.16,0,45.73,0,0,0,6.2,0,0,0,0,53.77,0,0,5.12,4917.87,0,4.72,2.34,0,2.46,0,0,460.88,0,0,12.66,4.51,0
