stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,26.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.08,0,0,0,11.5,0,0,3.86,0,0,0,0,0,26.66,0,0,0,7.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.79,0,0,0,0,0,0,0,0,36.41,0,0,0,5.9,0,0,0,0,0,0,0
 14-21,0,0,0,1.06,0.9,0,1.33,0,2.74,0,0,0,4.75,14.17,0,0,0,1.8,0,0,0,10.05,2.55,4.33,0
 24-34,0,0,0.9,0,0,0,0,0,0,0,0,0,0,29.82,0,3.22,0,0,0,0,0.76,4.35,12.42,9.36,1.49
 36-46,0,0,0,0.9,2.95,0,0,0,0,0,0,1.82,0,56.91,0,0,0.61,0,0,0,0,0,12.86,15.91,0
 48-58,0,0,1.78,0,23.93,0,0.69,0,0,0,1.28,1.63,0,81.99,0,1.26,0.43,0,0,0,0,0,11.82,5.21,0
 60-70,0,0,0,0,14.21,0,0,0,1.22,0,0,0.7,0,45.43,0,2.28,0,0,0,1.13,3.49,0,6.03,6.17,6.76
 72-82,0,0,0.61,0,78.78,1.84,1.35,0,1.04,0,0,0.63,0,117.42,0,0,0,0,0,0,0,0,12.58,16.02,0
 84-94,0,2.22,0,0,43.26,0,3.35,0,3.67,0,0,0.57,0.59,46.78,0,0.93,0,0,0,0,0,0,3.28,14.88,0
 96-106,0,0,0,0,24.54,0,4.8,0,0,0,0,0.91,1.19,48.47,0,0,0,0,0,0,0,0,0,13.33,1.41
108-118,0,0,0,0,58.2,0,6.12,0,0,0.52,0,2.19,0.89,34.67,0,0,0,0,3.71,0,0,0,0,17.55,0.6
120,0,0,0,0,25.08,0,0,0,0,0,0,2.41,0,5.83,3.89,0,0,0,0,0,0,0,0,16.25,4.77
