stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,200.57,2162.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.87,0,0,0,0,0,0
  5-6,125.2,1783.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.04,0,0,14.6,47.37,0,0,0,0,0,0
  7-9,21.65,14.63,0,28.79,0,0,93.81,0,0,0,0,13.49,0,0,0,0,0,522.78,17.74,0,134.51,0,0,0,0,0,0,0
 10-12,0,10.49,0,6.84,0,0,39.57,0,0,0,0,11.34,0,0,0,0,0,200.77,3.96,0,44.04,0,3.78,0,0,0,0,0
 14-21,0,0,0,0,12.13,5.42,0.89,0,0,0,0,0,0,0,0,2.11,0,7.39,0,0,0,3.7,0,1.14,0,0.92,4.83,2.85
 24-34,0,0,0,0,2.23,0,1.46,0,0,0,0,0,0,0,0,0,0,29.79,0,0,0,0,0,0,1.33,0.63,2.31,0.6
 36-46,0,0,0,0,0,0,2.24,0,0,3.04,0,0,1.77,0,0,1.91,0,34.44,0.99,0,0,3.09,0,0,0,0,6.19,0
 48-58,0,0,0,0,0,0,2.86,0.44,0,1.33,0,0,0,0,0.66,0.7,0,5.58,0,0,0,0,0,0,0.37,0,6.02,1.46
 60-70,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0.72,0,0.6,0,4.39,0,0,0,0,0,0,0,0,1.37,0
 72-82,0,0,0,0,0,2.25,7.06,0,0,0,0.62,0,0,0,0,0.72,0,13.01,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.24,0,0.91,0,0,0,0,0,0,1.23,0,3.4,0,0,0,0,0,0,0,0,1.26,1.7
 96-106,0,0,0,0,2.28,0,0.92,0,0,0,0,0,0,0,0,0,0,2.44,0,1.74,0,0,0,0,0,0,0,0
108-118,0,0,1.03,0,3.44,0,0,0,0,1.13,1.6,0,0,0,0,1.36,0,3.15,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,6.08,4.25,0,0,0,0,0,0,0,0,0,0
