stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.39,3.59,0,0,0,0,0,0,0,0
 10-12,45.77,0,0,0,0,0,0,0,0,0,0,3.11,11.29,0,0,0,0,0,0,0,0
 14-21,0,0,6.32,0,0,0,0,0,29.98,0,11.05,6.2,0,0,4.19,0,4.73,0,0,0,0
 24-34,0,0,4.48,0.61,0,0.6,0,1.38,46.63,0,14.35,3.34,0,0,0,0,2.28,2.85,0,18.51,0
 36-46,0,0,0,0,3.63,0,0,0,1.22,5.77,1.53,2.03,0,0,0,1.16,0,0.86,0,0,0
 48-58,0,0,0,0,0.4,0,0,0,3.8,10.91,1.9,13.05,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.5,4.87,0,9.27,0,0,0,0,0,0,0.57,1.82,2.23
 72-82,0,0,5.33,0,7.89,0,0,0,12.7,0,0,3.07,0,0.87,0,0,0,2.68,0,0,2.86
 84-94,0,2.86,0.95,0,1.1,0,0,0,0,3.22,0,9.08,0,0,0,0,0,4.71,0,0,1.55
 96-106,0,0,10.26,0,2.21,0,0,0,0,0,0,19.81,0,0,0,0,0,7.32,0,0,0.96
108-118,0,0,7.59,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,10.61,0,0,0
120,0,0,15.53,0,3.99,0,4.12,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0
