stage,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,13.18,0.8,1.46,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.09,0,1.39,2.09,0,0.95,0,0,0,3.63,0
 36-46,0,0.84,0,0,0.6,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0
 48-58,0,1.25,0,0,0.55,0,0,0,0.76,0,0,1.96,0,0,1.03,0,0,0,0
 60-70,0,7.26,1.3,1.01,0,0,0,0,0.72,0,0,0.87,0,0,0,0,0,3.22,0
 72-82,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0
 84-94,0.55,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,4.23,0
 96-106,0,0,0,0,0,0.89,0.59,0,0,1.84,0,0,0,0,0,1.66,1.58,2.5,5.63
108-118,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,1.23,0
120,0,0,0,0,0,0,0,2.21,10.93,0,0,0,0,0,0,0,0,1.09,0
