stage,axial,blastomeres,endoderm,eye,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm
  3-4,876.95,6950.56,0,0,0,0,0,0,0,106.41
  5-6,679.24,2925.76,6.55,0,7.31,0,8.03,15.57,19.17,8.81
  7-9,5.34,0,3.4,6.21,0,0,186.76,0,44.1,0
 10-12,0,0,0,13.08,0,0,54.58,0,0,0
 72-82,0,0,0,0,0,1.27,0,0,0,0
