stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,274.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,155.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.97,0,0,25.7,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,52.68,0,0,0,21.95,0,0,6.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.27,0,0,0,10.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0.94,1.07,0,0,0,0,0
 24-34,0,0,0,0,0.8,0,1.42,0,0,0,0.68,0,0,0,0,0.6,0,0,3.33,0,0,0,7.46,0.67,0,0,0,0,5.08,0,0,1.25,2,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.67,0,0,0,0.62,0,0,0,0,0,0,0,4.53,0,0,2.14,13.9,0,0,0,0,0,0,0,0.74,0,5.45,0,0,1.02,0,0.67
 48-58,0,0,0,0,5.42,0,6.27,1.17,0,0,2.95,0,0,0,0,0,0,0,3.73,0,0,0,20.82,0,0,0,0,0,0.99,0,0,0,7.51,0,0,0,0,0
 60-70,0,0,0,0,9.24,0,9.9,0,0,0,2.5,0,0,0,2.9,0,0,0,7.78,0,0,0.59,15.16,0,1.62,0.59,0,0,5.54,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.78,0,0,0.49,2.38,0,0,0,4.38,0,0,0,1.86,0,0,0,17.71,0,0,0.64,9.94,0,0,0.59,0,0,0,0,0,0,2.17,0,0,1.94,1.37,0
 84-94,0,0,0,0,0,0,8.17,0,0,0.64,4.79,0,0,1.5,2.06,1.32,0,0.61,9.09,0,0.92,0,16.8,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.47,1.24,2.24,0,0.66,0,5.2,1.17,0,0.79,0,0,0,0,8.93,0,1.34,1.2,3.69,0,0,0.69,0,0,6.66,0,0,0,4.5,0,0,0,0,0
108-118,0,0,0,0,0.51,1.47,2.92,0,1.52,0.75,4.15,0,0,0,1.64,0,2.35,0,19.09,4.16,0,0,16.9,0,0,0.66,0,4.3,6.23,0,0,0,0,0.43,0,0,0,0.74
120,0,0,0,0,2.42,0,0,0,3.21,0,4.56,1.19,0,0,3.38,0,0,0,2.83,0,0,1.32,4.47,0,0,3.06,0,0,0,0,0,0,1.98,0,2.93,0,0,0
