stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.49,109.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,112.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.35,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.52,10.39,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0
 14-21,0,0,0,0,4.33,18.73,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.18,9.57,0,5.51,60.43,0,0,0,0,0,1.61,1.21,0,0,20.67,14.34,0,0,33.11,0,0
 24-34,0,0,0.67,2.22,3.45,3.36,6.9,0,0,0,3.64,0,1.41,5.7,0,0,0,0,0,3.62,18,0,5.06,341.85,1.56,12.58,10.56,0,0,0,0,2.36,0,3.72,53.4,0,0,189.21,0,1.41
 36-46,0,0,0,0,6.25,0,15.57,0.85,12.05,0.81,45.76,0,0,1.99,0,0,0,0,0,0,17.31,0,1.7,554.35,0.7,7.98,1.76,0,0,6.26,0,0,3.43,0,60.78,0,0,131.75,0,11.69
 48-58,0,0,0,0,12.14,5.2,82.63,0.66,0,1.09,119.25,0,0,1.04,3.03,0,0,0,1.64,10.56,32.18,0.5,2.86,769.99,0,9.59,0,0,0,4.82,0,0,0,0,57.99,0,1.22,122.83,0,3.99
 60-70,0,0,0.89,0,9.52,10.02,340.89,0,6.61,2.08,78.2,0,0,0,0,0,0,0.59,0,0,35.6,0,11.72,1065.34,2.46,7.92,11.23,0,0,0,0,1.51,0,0,66.73,0,0,65.09,0,0
 72-82,0,0,0,0,11.46,0.61,722.28,0,1.5,2.35,183.71,0.61,0,2.37,0.63,1.02,1.69,2.13,0,1.45,78.97,2.11,7.83,1575.05,0,12.4,7.52,0,0,7.66,0,0,0,0,67.66,0,2.24,93.49,0,7.75
 84-94,0,0,0,0,16.51,10.94,532.19,0,0,5.6,246.02,0,0,0.79,4.39,0,2.21,1.64,1.56,4.39,89.96,9.17,2.36,1270.36,0,5.6,2.78,0,0,5.95,0,0,0,0,51.22,0,0.75,99.43,2.93,0
 96-106,0,0,2.52,0,17.3,9.03,761.63,0,0.56,0.71,208.96,2.05,0,0,6.19,0,1.53,4.38,2.33,14.84,88.93,4.75,0.92,1153.19,0.62,14.27,9.75,0,3,4.95,0,0,1.11,0,24.25,1.97,2.88,121.97,2.32,7.75
108-118,0,0,1.21,0,21.43,5.39,832.18,0,2.88,1.11,357.05,2.57,0,0,3.39,0.81,4.2,2.72,3.99,1.29,83.81,2.1,5.91,1390.38,2.26,6.95,8.4,0,2.59,1.99,0,0,0.69,0,34.99,0.84,1.36,104.56,1.67,1.55
120,0,0,0,0,41.02,1.99,720.72,0,0,0,561.51,0,0,2.63,1.01,0,0,12.9,0,1.51,101.3,1.45,1.27,2149.5,2.45,11.91,25.76,0,0,2.23,0,2.15,0,0,44,0,6,147.28,12.55,0
