stage,axial,blastomeres,neural,paraxial_mesoderm,periderm
  3-4,21.57,134.58,0,0,19.29
  5-6,0,70.56,36.3,0,0
  7-9,0,0,13.59,5.44,0
 14-21,0,0,0,1.07,0
 36-46,0,0,0.72,0,0
