stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,0,0,0,0,0,0,0,0
  5-6,85.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.53,0,0,0,0,0,0,0,0
  7-9,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.97,0,0,0,3.22,0,94.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.97,0,0,0,0,0,17.92,0,0,0,0,0,5.32,0,0,0,0,0,121.09,6.07,0,0,4.36,0,32.17,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.32,2.02,0,0,0,0.88,0,0,0,0,0,0,3.47,0.87,0,67.1,0,0,0,0,0,9.92,0,0,0,0,0,235.41,1.66,2.78,1.48,0,0,0,0,8.41
 24-34,0,0,0,9.72,2.74,0,2.97,0,0.85,0.79,1.39,0.64,0,0,0,6.67,1.25,0,32.63,0,12.05,4.23,0,9.98,95.34,0.8,0,0,0,0,859.92,28.79,0,11.8,0,0,4.08,0,42.8
 36-46,0,0,0,20.07,2.85,0,4.5,0,12.71,1.17,0,0,0,0,8.66,10.08,0,2.88,5.17,18.97,30.15,11.13,1.12,1.13,48.82,0.65,3.82,0.8,0,0,903.94,52.69,0,22.75,0,0,0,0,40.94
 48-58,0,0,0,11.82,3.31,0,15.48,0,25.04,1.71,5.4,0,1.73,0,0,4.95,6.44,2.43,0,3.46,21.69,3.19,0,0.38,55.4,0,3.34,0,0,0,473.79,7.11,0,9.55,0,0,6,0,91.77
 60-70,0,0,0,17.51,1.2,0,38.6,0,12.39,4.85,15.58,5.21,0,0,6,2.46,12.31,2.49,15.15,9.7,26.05,7.42,11.29,0,41.27,0,5.63,0,0,0,416.18,8.08,0,11.42,0,0,1.78,0.61,49.3
 72-82,0,0.87,0,16.42,10.49,0,20.17,0,2.34,17.93,4.99,12.54,0,0.53,0,0.6,18.46,1.37,22.75,0.57,40.37,2.14,1.14,1.69,32.38,0,3.49,0.58,0,0,141.55,16.54,0,0,0,0.5,16.68,4.89,38.68
 84-94,0,0.84,0,16.88,18.67,5.75,21.41,0,3.4,2.46,4.86,22.8,0,1.12,0,3.65,5.62,1.99,44.2,2.01,35.22,14.82,3.37,0,30.2,0,14,0.86,0,0,326.37,32.22,0,0,2,0,8.14,0.68,46.37
 96-106,0,1.1,0,15.86,12.74,1.2,16.71,0,3.77,0,21.13,40.98,0,0,0.88,2.56,3.59,2.64,65.19,5.33,48.72,1.34,2.27,0,54.83,0,4.65,0,0,4.36,177.14,51.32,0,0.57,0,3.34,12.49,4.72,24.8
108-118,0,3.51,0,23.89,18.67,41.97,48.72,0.56,5.68,7.26,6.16,62.57,0,0,0.84,4.46,12.92,0,92.58,1.63,55.06,12.1,1.57,0.43,45.17,0.51,15.56,0.87,0,0,119.51,51.46,0,3.77,1.5,5.26,0.89,0,11.56
120,0,0,0,26.05,56.74,8.92,21.09,2.05,4.66,1.44,36.89,102.76,0,0,0,10.97,13.22,1.15,108.08,0,189.92,23.26,0,1.9,118.82,0,31.31,0,0,0,89.29,53.31,0,2.04,1.39,0,15.53,12.18,9.72
