stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,9.76,100.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,241.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.43,0,0,0,13.52,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,53.21,3.39,0,0,17.67,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2.09,0,0,0.9,8.37,9.9,0,0,0.83,0,7.08,0,5.8,0,0,0
 24-34,0,0,0,0.64,1.41,1.5,0,0,0,0.81,0,0.63,0,1.24,0,0,0,50.43,0,1.68,2.29,0,0,0,0,6.59,0,0,0
 36-46,0,0,0,0,0,6.3,0,3.44,0,0,0,0,0,2.13,0,0.8,0,45.48,0,4.15,0,0,1.35,0,0.62,19.14,0,1.43,2.73
 48-58,0,0,0,0,0,13.52,0.98,3.64,0,0,0,0,0,5.6,0,0,0.51,39.86,0,0.55,0,0,0,0,0,6.69,0,0,0
 60-70,0,0,0,0,0,35.15,0,6.18,0,0,1.02,0,0,11.64,0,0.62,0,25.99,0,0,0.82,0,0,0,0,0,0,0,1.15
 72-82,0,0,0,0,0,25.27,0,3.17,0,0,0,0,0.57,2.32,0,0.81,0,29.35,0,0.53,0,0,0,0,0,0.67,0,0.77,0
 84-94,0,0,0,0,0,11.78,0,1.56,1.31,0,0,0,0,0.91,0,0,0.7,16.07,0,0,0,0,0.69,0,0,2.98,0,1.14,0
 96-106,0,0,0.87,1.62,0,8.5,1.43,4.7,1.54,0,0,0,0,0,0,0,0,15.96,0,0,1.76,0,0,0,0,0,0,0,0.79
108-118,0,0,0,1.57,0,19.33,0,0.73,0,0,0,0,0,8.77,1.01,0,0,21.96,0,0,0,0,2.22,0,0,0,1.24,0,0
120,0,0,0,8.84,0,18.48,0,7.27,0,0,0,0,0,0,0,0,0,19.73,0,0,0,0,1.37,0,0,0,0,3.14,0
