stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.5,0,0,0,0,0,0,26.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,21.43,0,0,0,0,0,0,26.16,0,0,0,0,0,0,0,0
 14-21,0,1.07,6.36,0.9,0,0,0,0,0,0,1.73,7.13,0,0,0,1.01,1.93,0,0.87,2.79
 24-34,0,0,0.72,0,0.85,0,0,0,0,0,2.15,1.66,0,0,1.52,0.94,0,0,0,1.61
 36-46,0,0,4.52,0,0,0,0,0.61,0,0,0,14.29,0,0,0,0.69,0,0,0,0.67
 48-58,0,0,6.45,0,0,0,0,0,0.39,0,0.4,1.11,0,0,0.45,0,0,0,0,0
 60-70,0,0,0.8,0,0,0,0.77,0,0,0,0.89,2.35,0,0,0,0,0,0,0,0.79
 72-82,0,0,7.77,0,0,0,1.1,0,0,0,1.17,0,0,0,0.56,0.51,0,0.63,0,0
 84-94,0,0,1.29,0,0,0.66,0,0,0,6.17,3.13,0,0.66,0,0.87,4.46,0,0,0,0
 96-106,0,0,7.93,0,1.66,0,0,0,0,0,4.78,0,0,0,0.65,2.55,0,0,0,0
108-118,0,0,0.43,0,0,0.44,0,0,0,0,0.76,0.52,0,0,0.42,0,0,0,0,0
120,0,0,1.08,0,1.12,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0
