stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,55.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,117.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.84,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.99,12.13,0,0,21.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.28,0,6.52,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,221.23,0,0,0,69.97,0,5.85,0,8.1,0,0,0,0,0,0,0
 14-21,0,0,3.76,0,3.52,0,0.86,0,0,18.77,0,0,0,0,0,0,0,3.9,0,0,170.82,0.85,0,0,0,0,0,9.78,0,4.49,111.76,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,13.34,0,0,15.76,0,0,0,2.17,0,0,0,7.19,0,1.52,806.85,12.8,0.94,0,0,2.4,0,0,0,0.62,223.34,0,0,0,0,0.91
 36-46,0,0,1.68,0,2.82,0,44.78,0,0.57,56.37,0,0.65,0,0,0,0,0,6.66,0,0.95,1186.7,0,1.29,0,0,2.43,0,0,0,0,254.36,0,0,0,0,0
 48-58,0.39,0,0,0,4.65,0,146.83,0,0.43,122.36,0,0,0,0,4,0,1.3,13.41,0.46,1.41,1157.86,0,1.12,0,0,0.43,0,0,0,0,271.23,0,0,0,0,2.63
 60-70,0,0,0,0,0.68,0,245.45,0,0,92.23,0,0,0,0,1.62,1.02,0,19.61,1.02,0,1276.72,0,2.12,0,0,0,0,0,0.62,0,181.52,0,0,10.55,0,0
 72-82,0,0,0.64,0,1.6,2.36,267.09,0,0,114.75,0.56,0,0,0,0,0.79,0,15.94,0,0,1100.46,0,2.87,0,0,1.13,0,0,0,0,104.95,4.21,1.7,0.99,0.69,0
 84-94,0,0,0,0,9.88,0,264.05,0,3.93,66.91,0,0,0.69,0,0,0,0,29.26,1.63,0,788.21,0,9.84,1.29,0,2.43,0,0,0,0,62.48,3.49,0,3,0,0
 96-106,0,0,0,0,3.17,0,195.11,0.61,0,63.29,0,0,0,0,0,1.3,0,17.62,0,1.67,660.52,0,0.6,0.73,0,7.54,0,0,0,0,39.65,0,0,1.1,0,0
108-118,0,0,0.71,0,4.13,0,177.24,0,0,71.6,0,0,0,0,0,0.74,0,18.03,0.69,0.44,830.97,0,1.19,0,0,0.56,0,0,0,0,44.32,0,1.53,0,0,0
120,0,0,0,0,7.14,0,138.66,0,0,69.79,0,0,0,0,0,0,0,47.95,0,0,1128.89,0,0,0,0,3.47,0,0,0,0,42.71,0,0,0,0,0
