stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,4.44,0,0,0,0
 14-21,0,0.85,0.92,0,0,0,0,0,1.99,0,0,7.19,0,0,0,0,0,1.11,1.79,5.29,0,0,0
 24-34,0,0,0,0.63,0,0,0,0,5.95,0,0,18.56,0,0,0,0,0.87,0,0,2.8,0,0,0
 36-46,0,0,0,3.11,0,0,0,0,0.75,0,0.74,19.16,1.62,0,0,0,0,0,0,6.37,0,0,0
 48-58,0,0,0,14.2,0,3.29,5.36,0.38,4.51,0,0,10.71,0.39,0,0,0,0,0,0,5.52,0,0.64,0
 60-70,0,0.75,0,8.53,0,2.92,0,0,4.48,0,0,21.93,0,0,0,0,0,0,0,3.82,0,0,0
 72-82,0,0,0,15.54,0.56,2.65,0,0,5.55,0,1.4,15.65,0,1.23,1.06,0,0,0,0,0,0,0,0
 84-94,0,0.73,0,5.27,0,3.53,0,0,2.7,2.23,2.87,8.65,0,0.83,0,0,0,0,0,9.05,0,0,1.45
 96-106,0,0,0,18.64,0,3.71,0,0,3.87,0,0,17.82,0,0,0.65,2.17,0,0,0,0,0,1.58,0
108-118,0,0.51,0.59,1.09,0,0.78,0,0,13.79,0,0,18.39,0,0,0,0,0,0,0,0,1.01,0,2.85
120,0,1.16,0,2.51,0,3.33,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0
