stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0
 14-21,0.91,0,0,0,0,0,0,0,0,0,0.98,0,7.46,0
 24-34,0,0,0,0,0,0,0.62,0,0,0,0.72,1.32,0,0
 36-46,0,0.79,0,0,0,0,0,0,0,0,2.35,0,4.87,0
 48-58,0,0,3.07,0,0,0,0,1.03,0,0,9.15,0,4.65,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.7,0,0.57,0
 72-82,0,0,1.04,0,0,0,0,1.13,0,0,0,0,0.51,1.04
 84-94,0,0,0,0,0,0,0,0.8,0,1.08,0.61,0,0,0
 96-106,0,0,0,0,1.73,0,0,0,0.81,0,0,0,7.98,0
108-118,0,1.02,0,0,2.55,0.67,0,0,0,0,0,0.49,9.58,0
120,0,1.26,0,1.05,0,0,0,0,0,0,0,0,3.54,0
