stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,110.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.43,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,4.85,0,0,6.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.03,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,91.24,6.38,0,0,59.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,6.49,0.89,2.23,0,0,0,0,0,0,0,0,0,0,8.66,0,10.66,45.32,2.64,0,0,13.06,0,0,3.18,1.7,90.71,0,0,0,0
 24-34,0,0,0,0.59,1.9,0,0,0,1.07,1.4,1.35,0,1.01,0,0,0,0,21.32,0,5.36,177.23,1.46,0,0.64,0,0,0,0,0.97,80.05,0,0,0,0
 36-46,0,0,0,0,5.83,0,6.03,0,9.82,1.51,0,0,0,0,0,0,14,39.35,0,0.68,452.82,0,0,0,0,0,0,0,0,92.07,0,0,0,0
 48-58,5.75,0,0,0,10.79,0,29.54,0,1.24,3.84,0.44,0,1,0,0,0,3.25,112.86,0,0.78,596.05,0,0,0,0,0,0,0,0,121.25,0,0,0,0
 60-70,0,0,0,0,6.73,0,51.74,0,2.92,5.05,1.47,0,0.7,0,0,0,1.27,258.85,43,20.04,913.48,0,0,0,0,0,0,0,0,118.38,7.57,0,5.71,0
 72-82,0,0,0,0,17.36,4.37,77.73,0.59,17.32,6.56,7.02,0.71,1.72,0,0.89,0,0,389.23,144.34,39.62,923.52,0,0.88,0.97,0,3.3,0.53,0,0,122.97,36.21,0,121.82,0
 84-94,0,0,0,0,16.23,0,91.05,0,7.49,4.99,20.57,1.59,1.22,1.4,0,0,3.56,338.17,157.42,25.92,663.24,0,0,0,0,0,0,0,0,72.18,32.67,0,96.88,0
 96-106,0,0,0,0,24.77,0,40.83,0,3.35,15.88,11.1,1.31,5.49,0,0,0,0,651.97,152.83,38.21,465.01,0,2.49,0,0,5.53,2.51,0,0,73.74,21.53,0.6,124.85,0
108-118,0,0,0,0,32.02,0,26.14,1.3,3.04,10.95,9.1,1.94,0,0,0,5.15,0,696.95,153.03,17.32,604.4,0.55,0,0.63,0,6.63,0.56,0,0,66.5,22.1,0,133.3,0
120,0,0,0,0,59.51,0,53.38,0,13.13,0,8.61,0,8.51,0,0,0,0,579.26,211.65,9.44,384.24,0,0,0,0,0,0,0,0,17.47,13.46,0,142.21,8.94
