stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.82,1.18,3.54,3.87,0,0.99,0,0,0,2.11,0,0,0.84,0,0,0,42.71,0,3.24,0,0,2.34,11.78,0,0,0.93,0.84,0,0,4.7,1.44,3.41,4.53,0,0,0.89,0,1.14
 24-34,1.26,4.41,1.45,0.67,0,0,0,0,0,0,4.4,0,5.63,0,0,0,41.45,0,7.27,0,0,0,29.77,0.97,0,1.32,0,0,0.81,0,0,3.73,8.6,0,0,21.57,0,0
 36-46,2.82,0.56,6.11,0,0,1.27,0,0.57,0,0,5.3,0,0.84,0,0,0,32.94,0,3.38,0,0,2.3,40.03,3.89,1.42,0,0,0,0,2.14,0.63,0,9.97,0,0,12.24,0,0
 48-58,1.62,0,0.44,0,0,6.34,0,0,2.51,1.15,5.31,0,0.67,0,0,0,31.65,0.56,3,0,1.56,3.31,24.34,1.01,0,0.46,0,0.61,0,0,0,0,8.65,0,0,8.87,0,0
 60-70,11.86,0,0.59,0,0,31.65,0,0,0.87,10.93,24.3,0,0,0,0,0,24.27,0,1.33,0,0,2.69,19.86,1.36,0,0,0,7.87,0,0,0,0,6.79,0,2.97,6.5,0,0
 72-82,33.88,0,3.92,25.99,10.94,6.88,0,0,4.73,2.35,42.73,0.59,2.24,12.73,0,0,66.93,0,22.3,0.78,0,0,30.78,0,0.52,0.91,0,5.5,3.04,0,0,0,3.03,0,0,10.89,0,0
 84-94,23.52,1.63,1.05,1.83,19.28,12.18,0,0,14.43,6.21,44.68,0,2.4,4.17,0,0,218.68,0,17.61,0,0,0,35.93,0,1.66,1.48,0,0,0.63,0,1.45,0,2.28,2.36,0,3.27,0,0
 96-106,31.29,0,1.86,57.25,23.31,5.84,0.93,1.74,12.44,4.89,58.74,0,0,11.78,0,0,333.71,0,28.88,0,0,2.77,58.17,0.57,0,1.69,0,5.53,2.34,0,0,0,8.73,0,2.83,22.52,1.73,0
108-118,22.19,3.83,2.59,16.61,88.31,59.16,0,3.51,5.22,23.75,52.22,0,0,9.77,0.45,0,789.49,0,47.62,2.04,8.09,4.44,89.28,0,2.46,2.02,0,8.26,4.66,0,0.44,0,5.89,0,0,10.48,0.95,0
120,10.06,0,3.3,22.42,39.65,27.04,0,0,48.21,15.7,62.05,0,0,5.31,0,1.01,411.53,0,79.62,3.05,0,1.12,95.66,0,0,0,0,18.18,1.3,0,5.04,0,0,0,0,12.38,2.31,0
