stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,27.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,103.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,1172.98,0,0,8.37,0,0,261.82,0,0,0,0,0
 14-21,0,0,0,8.62,4.93,0,1.6,0,0,0,0,0.85,3.48,171.84,0,0,0,0,0,0,186.74,0,105.99,56.85,6.05,0,0,0,0,9,232.18,0.84,908.39,8345.16,24.4,0,0,0,0
 24-34,0,0,0.76,10.97,0.67,0,7.49,545.63,2.94,2.41,2.63,1.94,0,97.01,0.88,12.05,0,0,15.48,1.23,31.56,0,246.41,287.7,2.1,1.46,2.06,1,0,9.76,1.22,5.22,221.99,2353.83,29.57,0,8.47,0,0.96
 36-46,0,0,0,0,1.29,0,18.49,877.45,16.79,0,2.4,0,0,49.74,0,0,0,0,0,0,21.28,0,131.59,195.67,1,3.62,1.37,0,0,11.96,1.05,9.5,117.12,168.97,53.45,0,7.72,0,0
 48-58,0,0,0,3.96,0,0,63.76,604.56,0,3.22,18.86,0,0,21.07,0,0,0,0,0,3.19,25.42,0,166.24,228.08,1.46,1.71,0,0,0,18.52,2.68,0,61.63,1.11,55.96,2.76,0.85,0,22.73
 60-70,0,0,0,0.72,0,0,79.02,348.92,0,1.59,11.13,0,0,14.79,0.67,0.56,0,0,0,0,10.01,0,156.92,146.89,0,1.33,4.69,0,0,8.18,0,0,55.09,0,15.74,4.91,2.67,0,15.03
 72-82,0,0.6,0,0,7.69,0,29.49,196.13,0,0,10.94,7.53,0,5.4,1.35,0,0,0,2.65,0,21.87,0,84.23,65.02,0,0,1.44,0,0,5.11,0,0,20.76,0,9.08,0.89,0,0.57,15.41
 84-94,0,0,0,5.74,2.48,0,41.71,247.88,0,0,9.96,8.88,0,5.48,3.94,0,0.75,0.65,2.21,0,9.73,5.27,86.13,59.08,0.9,0,2.66,0,0,9.37,0,0,25.1,0,8.71,5.04,1.23,6.44,3.76
 96-106,0,0,0,3.55,11.08,0,66.35,294.24,0,1.72,14.93,6.24,0,10.76,1.62,0,0,0,1.69,0,28.23,0,99.07,116.7,0,0,2.78,1.2,1.67,4.47,0,0,32.83,0,15.48,0,2.51,1.67,8.81
108-118,0,0,0,4.28,5.63,1.88,33.19,216.05,1.38,0,8.89,0,0,5.59,0.42,0.95,0,0,1.08,8.81,18.37,0,103.07,52.58,1.2,0,0,0,0,7.06,0,1.46,17.55,0,5.31,0,8,1.44,0
120,0,0,0,1.66,1,0,17.38,195.78,0,0,27.51,0,0,11.45,10.42,0,0,0,0,0,3.15,0,105.07,52.14,0,0,0,0,0,5.52,2.24,11.05,11.93,0,5.58,0,0,17.7,0
