stage,axial,blastomeres,erythrocytes,eye,glial,immune,iridophores,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  5-6,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.46,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.77,0,0,0,0,6.85,0,0,0,0,0,1.43
 36-46,0,0,0,0,2.19,0.57,0.72,0,0,0,7.74,0,0,0.83,0,0,0
 48-58,0,0,1.76,1.35,1.79,1.65,13.31,0,0,0,9.55,0,0,0.84,0,0,0
 60-70,0,0,0,4.32,0,19.85,106.26,0,1.22,0,6.95,0,0,0,0,0,0
 72-82,0,0,0,1.19,1.87,9.11,54.45,0,0,0,10.85,0.52,0,1.11,0,0,0
 84-94,0,0,0,3.82,0,5.88,39.82,0,0.76,1.01,6.33,0,0,0,0,0,0
 96-106,0,0,0,13.36,1.26,5.37,30.37,1.26,1.08,0,0.99,0,0,0,0.67,0.61,1.22
108-118,0,0,0,0,1.01,8.4,36.48,1.43,0,0,2.8,0,0,0,0,0,0
120,0,0,0,1.59,0,25.28,9.38,0,1.06,0,2.02,0,0,0,0,0,0
