stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,xanthophores
 14-21,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0
 24-34,2.14,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,1.54,69.21,0,0,0,0,22.45,0,0,0
 36-46,0,0,0,0,0,0,0.61,0.92,0,0,0,0,0,2.92,0,0,304.22,0.94,9.99,0,0,23.19,0,0,0
 48-58,0,0,0,9.99,0,0,0,0,0,0,0,0,0,1.72,0,0,385.39,0,0.88,0,0,20.8,0,0,0.85
 60-70,0,0,0,56.01,0,0,0.62,0.96,0.85,0,0,0,0,2.18,0,0.6,1146.28,0,3.55,0,0,29.04,0,0,0
 72-82,0.5,8.73,0,189.64,0,0,0,9.32,0,0.55,0,0,0,2.99,6.78,0.53,1385.41,0,0,0,0,39.59,0,0.51,0
 84-94,1.05,9.04,3.66,124.5,0,1.69,9.91,2.26,0.84,0,0,0,0,14.78,0,9.85,1075.98,0,11.71,0,1.34,16.86,0.97,1.22,0
 96-106,0.87,11.94,0,101.16,0,0.85,3.05,13.19,0,0.96,0,0,6.67,25.97,1.02,0,1084.58,0,4.32,0,3.79,13.59,0,1.32,0
108-118,1.03,11.47,0,253.23,1.3,1,2.46,16.48,2.35,1.66,3.03,0,0,10.68,0,0,1577.56,0,0.49,0,1.07,35.25,0.89,0,0
120,0,19.99,2.63,463.61,1.75,3.6,4.91,22.43,1.43,2.4,0,3.86,0,54.69,0,2.57,4444.51,0,4.64,4.64,1.7,36.56,0,0,0
