stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,370.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.24,295.59,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,9.09,23.7,0,0,0,0,0,0
  7-9,5.17,0,0,13.16,0,0,23.32,0,0,0,18.78,0,0,0,0,0,0,0,0,147.57,3.59,0,0,50.28,0,0,0,0,0,0,0
 10-12,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.22,8.71,0,0,16.59,0,0,4.98,0,0,0,0
 14-21,0,0,2.92,0,6.23,0.92,1.4,0,0,0,0,1.07,0,0,0,1.11,0,0,0.84,9.4,0,0.87,0.8,0,1.01,0.95,0,4.04,0,0,0
 24-34,0,0,0,0.64,3.87,0,0.62,0.67,1.02,0,0,0,0,0,0,10.71,0,0,2.21,16.43,0,0,0.68,0,2.56,0,0,16.13,0,0,0
 36-46,0,0,0,0,2.58,0.68,3.12,1.24,0,1.43,0,0,0,0,0,9.07,0,1.06,0,41.8,0,0,0,0,0,0,0,25.47,0,2.18,0
 48-58,0,0,0,0,0.48,0,9.72,0,2.82,0,0,0.69,0,0,0,17.62,0,0,1.3,40.65,0.53,0,0,0,2.57,0,0,10.68,0,0.87,0
 60-70,0,0,0,0,0,0,17.04,3.53,0,0.85,0,0,0,0,0,9.26,0,0,1.87,46.85,0,0,6.69,0,0,0,0,3.61,0,1.26,0
 72-82,0,0,0.71,0,2.89,0,11.51,0,2.2,4.01,0,0,0,0.53,0,28.81,0,0.7,0.7,92.2,0,0,0.67,0,1.81,0,0,0.63,0.93,0,0
 84-94,0,0,0,0,3.61,0,15.68,0,0,2.01,0,0,0,0,1.61,7.45,0,3.08,0.71,37.09,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.65,27.05,1.19,0,0,0,0,0.91,0,0,7.02,0,0,4.11,11.68,0,0,0,0,0.87,0,0,0,0,0.79,0.8
108-118,0,0,0,0,0.92,0,7.69,0.48,0,6.25,0,0,0,0.65,5.31,11.96,0.77,2.89,3.69,17.61,0,0,0.73,0,2.95,0,0,0,0,1.53,0.65
120,0,0,0,0,1.58,0,0,2.68,0,0,0,0,0,0,0,13.65,0,0,0,36.91,0,0,0,0,3.89,0,0,0,0,4.32,0
