stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,149.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0
  5-6,12.67,118.04,9.08,0,0,0,0,0,10.32,0,0,0,0,12.27,0,0,0,0,0,0,0
  7-9,0,9.21,10.12,0,0,0,0,0,3.47,0,0,0,0,254.12,38.12,177.31,0,0,0,0,0
 10-12,0,8.61,29.72,0,0,0,0,0,0,0,0,0,0,162.29,16.68,334.73,0,0,10.73,0,0
 14-21,0,0,0,0.84,0,0,0,1.23,0,0,0,0,1.92,13.17,0,1.81,0,62.1,0,65.33,11.25
 24-34,0,0,0,0,0,0.87,0,0,0,0,0,0,0,1.41,0,0,0,0,0,6.56,2.37
 36-46,0,0,0,3.3,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0.77
 48-58,0,0,0,2.93,0,2.14,0,7.13,0,0,0,0,0,3.63,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.13,0,0,0,2.57,0,0,1.26,1.12,0,0,0,0,0,0
 72-82,0,0,0,0,5.79,0.69,0,0,0,0,2.45,0,0,2.11,0,0,0,0,0,0,0
 84-94,0,0,0,1.53,0,0.91,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.22,0.93,0,9.79,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.42,0,0,0,3.04,1.09,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0
