stage,endocrine.pancreas,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
 14-21,0,0.85,0,0,0,0,0,0,0,2.9,0,0,0,1.08,0.96
 24-34,0.84,0,0,0,0,0,0,0,0,16.71,0,0,0.7,0,2.55
 36-46,0,0,0,0,0,0,0.62,0,0,26.59,0,0,0,0,8.18
 48-58,0,0,0,1.68,0.8,0,0,0,0,68.14,0,0,0,0,10.02
 60-70,0,0,0,12.87,0,1.46,0.66,0,0,73.13,0,0,0,0,12.58
 72-82,0,0,0.51,56.34,0,0,0,0,0,190.97,0,1.67,0,0,8.53
 84-94,0,0,0.57,23.81,0.73,0,2.25,0,0,55.2,0,0,0,0,1.06
 96-106,0,0,0,42.34,0,0,0,0,0,54.46,1.44,0,0,0,0
108-118,0,0,1.32,42.79,0,0,0,0,0.5,36.22,0,1.33,0,0,0
120,0,0,0,2.75,0,0,0,2.4,0,54.25,0,3.14,0,0,4.78
