stage,epidermis,eye,glial,gut,lateral.line,mucous,neural,olfactory,periderm
 14-21,0.8,0,0,0,0,0,0,0,0
 72-82,0,1.62,0.67,0,1.05,0,1.66,0,1.56
 84-94,0,0,0,0,0,0,1.96,0,0
 96-106,0,0,0,0,0,1.49,0,1.44,0
108-118,0,0,0,1.11,0,0,0,0.48,0
