stage,epidermis,erythrocytes,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,4.06,1.21,0,0,0,0,1.16,0,1.83,2.01,2.04,0,0.94,0,3.82,0.88,0.81
 24-34,0,0,0,0.75,0,0,0,0,0,0,0.81,0,0,0,0,0,2.59
 36-46,0.63,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0.37,0,0,0,0,0,0,0.47,0.76,0,1.5,0,0,0,0,0,0
 60-70,0.64,0,1.41,0,0,0.78,0,0.63,0,0,0,0,0,0,0,0,0
 72-82,0.49,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0
 84-94,1.09,0,4.2,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0
 96-106,0,0,0,0,1.07,0,0,0,0,0,0,0,0.65,3.27,0,0,0
108-118,0,0,0,0.66,0,0,0.55,0,0,0,0,1.62,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,14.86,0,1.26,0,0,0
