stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,pgc,spinal_cord,taste,vasculature
  3-4,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63,18.35,0,147.33,0,0,0,0,0
 10-12,0,4.02,0,0,0,7.27,0,0,0,0,0,0,0,0,0,19.16,6.18,0,66.59,0,8.7,0,0,0
 14-21,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,5.76,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,24.69,0,0,0,0,0,52.19,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,36.52,0,0,0,0,0,16.17,0,0
 48-58,0,0,0,0,0,0.53,0,3.06,0,0,0,0,3.8,0,0,78.04,0,0,0,0,0,11.93,0,0
 60-70,0,0,0,2.97,0,15.89,0,0,0,6.9,0,0,4.15,6.12,0,53.06,0,0,0,0,0,0,0,0
 72-82,0,0,0.95,0,0,7.16,0,0,3.15,0,0.51,0,1.79,0,0,233.69,0,0,0,0,0,4,0,0
 84-94,0,0,0,3.58,0.87,44.5,0,0,3.15,0,0,0,6.93,0,0,110.38,0,1.89,0,0,0,0,0,0
 96-106,0,0,0,0.88,0,17.72,10.44,0,0,0,0,0,0,2.02,0,143.75,0.68,0,0,0,0,0,0,0
108-118,0,0,0,0,0,53.81,0,0,1.97,0,0,1.5,1.01,0,0,185.29,0,0,0,0,0,0,0.55,2.93
120,0,0,0,1.16,0,15.72,0,0,0,0,0,0,0,0,0,347.28,0,0,0,7.72,0,9.04,0,0
