stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.97,0,6.85,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.74,4.42,0,0,23.97,0,0,0,0,0,0,0,0,0,0
 14-21,1.36,2.35,0,3.73,3.22,0,0,0,0,1.49,0,0,0,0,0.81,0,0.93,0,0,2.04,0,0,0,91.14,0,5.27,1.74,0,0,0,0,0,40.08,0,0,1.77,0,0
 24-34,0,1.44,0,1.67,0,0,1.45,0,0,2.27,0,0,0,0,4.37,0,0.82,0,0,5.28,2.05,0,2,498.1,0,9.6,5.52,0,2.6,1.22,2,0.76,75.68,0,0,2.37,0,0
 36-46,0,0,0,0.58,0,0,105.85,0,0.82,14.64,1.28,0,0.79,0,3.61,0,4.82,0,8.82,3.26,1.4,0,0,1677.49,0,26.08,2.89,0,1.1,0,0,0,203.14,0,0,1.63,0,0
 48-58,0,0,0,7.9,0,0,377.06,0,0,20.01,0.41,0,0,0,19.33,0,2.53,0,6.42,9.79,5.59,0,0,1774.92,0,10.63,8.49,0,0.7,0,0.61,0,265.45,0,0,4.95,0,2.39
 60-70,0,1.76,0,1.15,0,0,1133.36,0,0,38.46,6.91,0,0,0,0,4.2,1.18,0,7.36,28.39,3.88,0,0,2039.91,0,15.14,21.35,0,2.58,0,0,0,251.24,2.51,0,1.66,0,2.33
 72-82,0,0,0,5.82,0.58,0.72,838.42,5.41,0,33.19,3.53,0,0,0,1.26,0,0.72,3.76,0.87,15.07,6.43,9.56,2.88,1326.53,0,13.46,8.25,0,1.16,0,1.24,0,71.89,5.8,0,0.58,3.02,3.34
 84-94,0,1.95,0.57,6.19,0.65,0,600.02,0,1.45,55.66,9.45,1.3,0,0,3.84,2.93,4.03,2.5,0,24.34,19.6,11.86,7.33,971.01,0,9.52,9.35,0,3.88,0,0,0,84.91,3.55,1.05,0,0.63,0.7
 96-106,0,3,0,16.26,2.65,0,513.07,0.57,0,29.78,4.74,1.32,0,0.77,4,1.5,4.64,12.39,0,5.36,12.11,0,0,660.25,0,9.85,16.18,0,4.28,0,0.68,0,15.81,6.5,0,3.67,0,10.6
108-118,0,0,0,19.12,3.6,8.81,520.45,1.06,0,36.77,13.74,0,0,1.38,6.04,0,4.2,5.08,0,14.49,12.07,0,0,766.23,0,7.69,10.69,0,0.58,0,0.5,0,24.91,9.37,0,0,0,0
120,0,2.75,0,10.66,4.51,1.71,382.22,3.6,0,39.68,11.18,0,0,0,4.07,0,9.67,12.94,0,18.11,2.76,0,2.44,1010.93,0,36.25,23.01,0,2.5,0,9.64,0,35.76,3.99,0,0,0,4.74
