stage,blastomeres,eye,glial,iridophores,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord
  5-6,15.31,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.73,8.57,0,0,0,0,0
 14-21,0,0,0,0,0,1.01,0,0,0,0,9.15,1
 24-34,0,0,0,0,1.56,9.04,0,4.68,0,0,0,1.73
 36-46,0,0,1.82,0,0,7.01,0,1.7,0,0.72,3.4,1.84
 48-58,0,0,1.25,0,0.66,4.31,0,1.8,0,0,0,0.83
 60-70,0,0.87,0.58,1.2,1.38,1.42,0,0,5.64,0,0,8.05
 72-82,0,0.96,1.38,0.83,0,6,0,5.7,1.36,0,0,0
 84-94,0,0,1.39,0.62,0,5.86,0,1.43,2.57,0,0,0
 96-106,0,0,0,0.75,0,0,0,4.78,1.85,0,0,0.98
108-118,0,0,1.7,0,0,5.97,0,0.59,2.31,1.65,0,0
120,0,0,0,0,0,0,0,0,7.84,0,0,0
