stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,49.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,77.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.49,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.57,0,0,0,38.98,0,0,0,0,0,0,0,0,0
 10-12,0,12.73,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,114.69,6.18,0,0,12.72,0,0,7.07,0,0,0,0,0,0
 14-21,0,0,0,12.6,3.21,1.06,0,0,0,0,0,5.03,0,0,0,0,0.81,21.45,0,0,0,0,0,2.84,0,1.83,1.2,15.47,0,3.33,0
 24-34,0,0,0,1,4.38,0,0,0.64,0,0,0,0,0,1.82,0.63,0,0,10.36,0,0.6,0,0,0,0,0,0,0,1.99,0,29.44,0
 36-46,0,0,0,0,0,0.9,0,1.5,0,0,0,0,0,0.59,0,0,0.87,21.75,0,0,2.7,0,0,0,0,0,0,12.59,0,23.41,0
 48-58,0,0,0,0,0.54,10.73,0,0,0,0,0,0,0,0.62,0,1.2,1.96,15.41,0,0,0,0,0,0,0,0,0,0.85,0,7.36,0
 60-70,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0.76,0,0,0.69,7.04,0,0,0,0,2.22,0,0,0,0,0,0,6.32,0
 72-82,0,0,0,0,0,6.26,0,0,0,1.75,3.51,1.02,0,1.51,0,0,3.29,6.17,0,0,0.54,0,0,0,0,0,0,0,0,16.72,0
 84-94,0,0,0,0,0,3.38,0,0,0,0,0,0,0,8.31,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0.78,12.83,0.68
 96-106,0,0,0,0,2.34,10.09,0.57,0,0,0,0,0,0,2.68,0,0,3.09,5.46,0,0,0,0,0,0,0,0,0,0,0,20.52,0
108-118,0,0,0,1.19,0,1.04,0,0,0.64,0,0,0.45,0,0.72,0,0,2.71,3.82,0,0,0,0,0,0,0,0,0,0,0,14.01,0
120,0,0,0,1.06,0,10.8,0,8.71,0,0,0,0,1.34,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0
