stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.84,154.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.43,176.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0
  7-9,17.64,0,0,17.58,0,0,3.95,0,0,0,0,111.95,0,0,0,0,0,0,0,0,0,81.12,4.29,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,0,14.54,0,0,0,0,5.17,0,0,0,5.32,0,0,0,0,0,133.12,0,0,0,91.91,6.59,4.94,5.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21.85,0,0,0,0,0,1.08,0,4.34,1.11,1.18,8.42,0,0.89,0,0,1.16,5.19,51.53,0,0,0,10.83,0,0,21.47,31.97,3.51,0,0,0,0,0
 24-34,0,0,0,0,18.17,0,0.64,4.75,0,1.05,0,0,3.4,5.54,3.61,17.75,0,2.26,6.82,0,2.58,89.63,8.73,4.59,0,0,25.5,0,3.46,7.15,15.93,16.08,0,0,1.81,0,0
 36-46,0,0,0,0,19.81,0,6.11,0,0,1.01,0,0,10.29,0,0.72,0,0,1.6,0,0,0,181.27,0.58,2.41,0,0,28.24,0.81,0,0,0,36.5,0,0,0,0,0
 48-58,0,0,0,0,3.27,0,13.07,5.26,0.45,3.23,0,0,2.2,10.06,0.65,0,0,2.07,9.96,0,0.4,238.77,1,0.94,1.08,0,34.32,0,0,0,0,44.85,0,0,0.56,0,0
 60-70,0,0,0,0,8.99,2.56,69.02,3.51,0.87,1.59,8.75,0,2.61,0.57,0,2.59,0,4.89,3.99,0,1.3,479.12,1.81,0,0,0,16.74,0,0,0,0,42.18,0,0,0,0,0
 72-82,0,0,0.54,0,6.45,1,94.95,0,0,7.34,4.24,0,3.51,0.83,2.7,0,0,11.39,2.94,0,0.57,553.77,0,0.49,3.29,0,13.78,0,0,0,0,42.3,0.95,0,0,0,4.88
 84-94,0,0,1.44,0,10.93,3.24,103.31,2.89,0,8.39,11.72,0,15.94,3.39,0,0,0,10.84,10.01,0,2.98,478.98,0.67,0.88,0.63,0,39.64,0,0,0,0,28.92,0.57,0,1.93,0,1.21
 96-106,0,0,0,0,14.64,2.12,96.65,0,0,2.89,15.97,0,14,9.45,0,7.13,0,13.63,7.28,0,0.62,409.65,0,1.36,2.96,0,41.76,0,0,0,0,22.68,6.55,2.63,0,0.66,0
108-118,0,0,0,0,12.28,0,153.63,0.52,0.77,11.35,18.92,0,15.14,7.35,2.34,0.88,0.82,4.89,28.66,0.46,1.5,561.82,0,1.13,4.09,0,26.84,0,0.43,0,0,11.07,2.73,0.66,2.05,1.11,0
120,0,0,0,4.41,39.75,0,161.77,0,0,5.23,18.68,0,28.24,1.63,0,0,0,12.11,0,0,0,809.83,0,1.15,4.64,0,48.31,0,0,1.63,0,17.08,0,0,1.54,3.69,0
