stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0
 14-21,0,0,3.86,0,0,0,0,0,0,0,0,0,0,1.25,0,0,2.01,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,1.45,1.04,0,0,0,0
 36-46,0,0.95,0,0,0,0,0,0,0,0,0,4.39,0,0.61,3.95,1.19,1.47,0,0,0
 48-58,0,0,0,0,0,2.83,0,0,0,0,0,3.01,0,0.78,3.06,0,1.32,0,0,0
 60-70,0,1.23,0,0,0.6,0,0,0,0,0,0,4.63,0,1.69,7.46,0,0,0,0,0
 72-82,0,3.76,0,0,0,6.06,0.56,0,0.61,0,1.54,7.63,0,0,2.4,1.41,4.03,0,0,0
 84-94,0,2.01,0,0.56,0,1.2,0,0,2.5,0.86,0,0,0,2.56,1.86,0,0,0.71,1.94,2.99
 96-106,0,1.73,0,0,1.5,13.38,0.86,2.36,0,1.53,0,7.36,0,0.56,11.66,0,3.8,0,1.78,0
108-118,0,4.87,1.12,0,0,6.36,0,0,0.99,0,4.56,7.15,0.94,0.42,2.14,0,0,0,0,0.65
120,0,0,0,0,0,0,0,1.8,3.38,0,0,0,0,1.01,0,0,0,0,0,0
