stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.9,0,0,0,0,0,1.75,0,0,0,0,0,0,0,3.54,0,2.11,0,0,2.65,28.5,0,0,0,1.83,0,0,15.79,0,0,0,0
 24-34,0,0,5.26,0,0,8.42,0,0,3.77,0,0.67,4.71,0,0,0,0,2.32,0,4.91,0,0.69,0.86,189.05,0.69,5.85,0,18.56,4.06,0.66,49.25,0,4.76,0,0
 36-46,0,0,1.36,0,0,27.9,0,2.18,4.3,0,0,1.32,0,0,0,0,0,0,13.97,1.99,0,0.65,609.37,0,6.72,0,21.99,0,0,84.31,0,0,0,0
 48-58,0,0,4.96,0.48,0,63.39,3.63,7.68,14.08,0,0,0,0,0.61,0,0,0,1.7,6.48,0,0.41,2.87,870.41,0,0,0,13.17,0,0,141.3,0,0.77,0,6.46
 60-70,0,0,1.07,0,0,170.14,0,12.99,16.18,0,0,0,0,0,0,0,0,0,4.15,0,1.83,0.93,1042.67,4.19,4.19,0,31.77,4.97,0,90.11,0,0,0,10.27
 72-82,0,0,0.84,0,0,271.44,0,0,35.75,1.21,0,0,0,0,0,0,0,0,7.52,0,1.11,2.72,1112.17,0,0.53,0,7.62,3.97,0,77.55,0.9,0.71,0,0
 84-94,0,0,7.92,0,0,159.68,0,0.66,20.94,0.64,0,1.31,0,0,0,0.69,4,0,23.68,0,0,0,747.07,0,7.36,0,11.11,4.36,0,7.24,0,0.66,0.64,0
 96-106,0.63,1.03,8.69,1.9,0,158.27,0,5.09,38.56,2.96,0,0,0,0,0,0,0,0,16.07,6.61,2.05,1.2,631.23,0,5.96,5.49,10.46,2.86,0,25.92,0,0.89,0,5.49
108-118,1.84,0,10.96,0,5.35,182.69,0,2.45,52.55,2.03,0,0.93,0,0,1.37,0,0,0,5.8,0,3.27,2.32,796.79,0,15.19,0,3.92,3.47,0,9.28,0,2.83,0,0
120,0,0,12.5,0,0,240.33,0,0,34.2,1.24,0,3.06,1.18,0,0,0,0,0,28.05,0,0,2.94,1552.25,0,6.6,2.74,0,4.16,0,27.86,0,0,0,0
