stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,54.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,83.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.72,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,45.21,10.39,0,0,7.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,45.7,0,0,0,8.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.4,2.28,2.28,0,0,0,0,0,0,0,0,0,0,0,6.51,0,5.67,31.97,0,0,0,0.82,0.96,8.72,0.85,22.57,18.96,0,0.89,0
 24-34,0,0,0,1.88,0.66,6.76,0,0,1.44,0,0,0.8,0,2.06,0,0,0,6.68,0,16.86,58.19,0,0,4.39,0,0,0,0,8.42,19.3,0,1.81,0
 36-46,0,0,0,0,0,4.24,0,0,6.36,0,0,0,0,0,0,0,0,3.25,0,3.54,21.61,0,1.48,0,0,0,0,0,0,3.73,0,0.99,0
 48-58,0,0,0,0,1.51,17.92,0.37,0.65,17.41,0,0,0.65,0,0.39,1,0,0,10.22,0.44,7.3,26.29,1.94,1.25,0.54,0,0,0,0.45,0,13.5,0,2.22,0
 60-70,0,0,0,5.4,0,16.97,0,1.48,34.97,0,0,0,0,7.22,0,0.69,0,15.68,0,1.51,40.52,6.63,1.17,0.86,0,0,0,0,0,3.94,0,0,0
 72-82,0,0,0,0.54,0,3.95,0,0.81,10.67,0.81,0,1.42,0,0,0,0,0,17,0,0.81,5.6,0,0,0,0,0,0,0,0,3.1,0,0,0
 84-94,0,0,0,0.56,9.97,7.99,0.56,0,16.45,0,0,0,0.57,1.89,0,0,0,13.09,1.91,2.28,15.25,0,0,2.11,0,1.21,0,0,0,2.42,0.72,9.17,0
 96-106,1.12,0,1.37,5.18,9.31,3.09,0,0,19.5,1.81,0,0.97,2.55,0,0,0.94,5.1,24.15,2.34,0.62,5.13,0,3.78,0,0,0.56,0,0,0,2.86,1.22,1.93,0
108-118,0,0,0,3.79,1.11,6.45,0.52,0.53,25.72,0,0,0,1.72,0,0,1.01,0,7.12,0,0.59,11.26,0.51,1.13,0.6,0,0,0,0.46,0,3.16,0,2.56,1.1
120,0,0,0,5.14,0,23.73,1.19,0,28.87,1.92,0,0,3.7,3.78,1.11,0,0,13.57,0,0,7.91,1.66,10.48,0,0,5.85,0,1.14,0,0,0,1.09,0
