stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,64.44,512.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.87,835.38,0,0,0,0,0,0,0,0,0,0,68.22,0,0,0,16.1,8.01,0,0,0,0,0
  7-9,14.92,9.62,32.74,0,28.34,0,0,0,0,0,0,0,438.71,7.91,0,0,187.5,0,0,0,0,0,0
 10-12,0,10,33.85,0,29.82,0,0,0,0,0,0,0,357.27,3.96,0,0,83.16,0,12.01,0,41.41,0,0
 14-21,0,0,0,6.5,0.81,0,0,0,0,0,0,0,28.37,0,0,0,1.3,0,0.9,4.85,0,10.95,0
 24-34,0,0,0,0,22.36,3.92,0,0,0,16.31,0,0,124.67,0,1.46,0,0,0,0,0,0,24.03,5.27
 36-46,0,0,0,3.66,19.32,8.96,0,16.56,0,4.94,0,4.66,49.81,0.62,0,1.21,0,0,0,0,0,16.01,5.67
 48-58,0,0,0,5.81,23.41,1.09,0.51,6.16,0,10.37,3.32,0.85,60.99,3.9,2.13,0,0,0,0,0,0,5.8,0
 60-70,0,0,0,9.26,26.52,7.11,2.2,0,6.19,5.57,0,0,26.36,0,0,2.13,0,0,0,0,1.06,0,0
 72-82,0,0,0,0,4.83,1.77,0,0,0,1.65,0,1.16,9.54,0,0,2.62,0,0,0,0,0,0,6.22
 84-94,0,0,1.01,1.25,10.82,0.97,0,0,0.88,10.43,0,0,2.23,1.46,0,0,0,0,0,0,0,3.34,1.67
 96-106,0,0,0,1.46,1.15,3.69,0,0,0,0,0,0,3.38,0,1.89,0,0,0.98,0,0,0,0,0.71
108-118,0,0,0,3.36,3.82,0,0,0,0,1.25,2.89,0,10.82,0.58,0,0.49,0,0,0,0,1.41,0.48,0
120,0,0,0,0,1.99,18.32,2.42,4.56,0,35.13,0,0,29.04,0,2.2,0,0,0,0,0,0,0,0
